10منٹ	ɒnməɳʈ
ëاطءل	ʔɑːt̪ɑːl
èاكءز	ɑkːɑz
ëب	æb
éب	ɛb
èب	ɛb
èہ	æ
éہ	ə
êہ	ɛː
èہا	əɪ
êہج	əɪdʒ
èہج	ɛhɟ
êہجہف	ɛːdʒahf
èہخµé	ɛhxʊ
èہخہج	əɪkɑːdʒ
ëہدءِµµ	ɛːɦd̪eː
ëہه	əhe
ëہهہهہجہا	əhaːhaːhaːdʒɑː
ً	ə
َ	ə
ِ	ə
g-چیٹ	gɪtʃʰeːt̪
ha-ha-ha-ہا	hahaːhaː
h-ہولڈ	ɦoːlɗ
îµّ	ɪmˈdʌd
îµً	ɪmɾ
îµًµç	ɪmɑːr
îµًµçءِ	ɪɾaːd
îµّءِ	ɪmˈɾi
îµًءز	ɪz
îµز	ɪz
îءà	ɪɑː
îء	ɪ
îءِ	ɪ
îءّ	ɪtː
îءضءِ	ɪdʒ
îءل	ɪl
îآ	ɑː
îآî	ɪɑː
îإح	əħ
ïاد	ɛːd
îاد	iːɑːd
îار	ɑr
îاط	ɪʈ
ïاط	ɪʈ
îاك	ɪk
îہ	ɪ
ïہ	ɪh
îہج	ɪhɟ
îہجاد	ɪɦɟɑːd
one-اٹھانوے	əʈʰənoe
ôاد	ɔːd
ôادµç	ɔːd̪uː
ôار	ɔːr
s-اس	əs
s-ان-کے	sɪnke
؛	ʃ
üءِ	ə
üء	ɪ
üءكµé	ʊkæ
üءكµéہج	ʊkægʲeː
ûآïار	ɑːɪr
ûآïاط	ɑːɪt̪
ùاد	ʊd
ûاد	ʊd
ûادءز	ʊd̪z
ûاكءِ	ɑːkɪ
ûہ	ɔː
ùہا	ʊɦɑ
ûہج	əʊɦdʒ
ùہجµç	ʊɦdʒʌs
ُ	ʊ
،	ʔ
ـ	ʔ
۔	ʔ
ّ	ʔ
µàہ	ɑː
َµً	ɑː
ّµ	ɑːr
ًµً	ɑːɾɑː
ًµç	ɑːr
µçءِ	ɪ
ًµé	ʊrːdʊ
µèءْ	ʔɪ
µéہ	ɪdʒɑːr
ٌµéہ	ʊn
µéہا	ɑː
µéہج	ɑːɾɪg
µîاد	miːd
µîہ	ɪ
µîہهاد	ɪhɑːd
ٌµً	ɪnʈɑzɑr
µûءِہع	ʊɾʊ
µüہج	ɑːɾ
µً	ʊrːdʊ
َµµ	ɑːɾʊ
ِµµ	ɪt̪ʰaːr
µµہüاد	ɪɾʈɑːd
µإءِ	ɑː
µإد	ɪd
µإن	ɪn
µئ	ɑː
ٌµئ	ʊn
µا	ɑː
ٌµا	ɪmɑːr
µاµµ	ɑːɾʌ
µادءِ	maːd̪eː
µار	maːr
µاص	ʔɑs
µاہف	əɣəf
µب	ɑːb
µخ	ɣ
ِµخ	ɪkʰ
ًµخ	ʊrːdʊ
ًµخµé	ɪkʰe
µر	əɾ
µرہ	ɾə
µرہج	ʊrɑhɑdʒ
µز	uz
µض	ʊdˈd
µع	ɑː
µعء	ɑːɽ
µعہا	ɑː
µه	ə
ِµه	ɪm
µهؤ	ɑː
ِµهارإ	ɪmaːr
µًہْئ	ʊrːdʊ
µًہعہج	ʊrduː
µيہج	ɪj
ءà	ə
ٍءِ	ə
ِء	ə
ِءِ	ə
ْءِ	ə
ْءّ	ə
ٍء	ɛ
ُءî	ʊ
ء	je
ء	ji
ءü	ə
ءüآ	əʊ
ءüہج	əʊ
ـء	ʔ
ء	ʔ
ءٌ	ʔ
ءِ	ʔ
ءّ	ʔ
ءْ	ʔ
ًء	ʔ
ٌء	ʔ
ُء	ʔ
ـءِ	ʔi
ٌءِ	ʔi
ُءِ	ʔi
ّءِ	ʔi
ءُ	ʔuː
ءِµµ	əɪ
ءµذ	əɪz
ءµر	əɾ
ءءà	ə
ءء	ʔ
ءّء	ʔaː
ءءءْ	ʔaː
ءءض	ʔɑːdʒ
ءءضءِ	ʔɑːdʒi
ءءل	əɭ
ءءلءِ	əːlɪ
ءءہ	əː
ءّآ	əɑː
ءأؤ	ɑːu
ءؤ	əʊ
ءِؤر	əɾ
ءِؤرءض	əɾɽəɖ
ءِإ	ə
ءِا	ə
ءِاد	ɑːd
ءاز	əza
ءاك	əˈk
ءِبض	əpɖ
ءث	əθ
ٍءز	ɑz
ءز	əˈz
ْءز	əzm
ّءض	ɑdʒ
ءض	əɖ
ءضµµاد	ˈɑdʒdʒʌd
ءضء	ʔɑdʒ
ءضءِ	ʔɑdʒi
ءضااإح	əzaːɪh
ءضااإحہا	əzaːɪhɑː
ءضہخ	əɖʌx
ءط	ʔəʈ
ءظ	ʔð
ّءك	ɑk
ءك	ək
ءكار	əˈkɑr
ءكاك	əˈkɑk
ءْہ	ə
ءْہج	əɦdʒ
ءہضءِ	əɦd̪ə
آ	ɑː
آ	ɑː
آٌ	ɑː
آُ	ɑː
آّ	ɑː
آْ	ɑː
ّآ	ɑː
آë	ɑː
آî	ɑːi
آïءْ	ɑːɪ
آû	ɑːu
آü	ɑːu
آµ	ɑː
آµé	ɑːmɑːr
آءِ	ɑː
آءّ	ɑː
آءِµµ	ɑːiː
آَآَاط	ɑːt̪
آأç	ɑːts
آأçء	ɑːɪs
آؤ	ɑu
آؤٹ	ɔːʈ
آؤٹر	ɔːʈəɾ
آؤنگا	ɔːŋgə
آؤں	ɔ̃
آئرس	ɑːɪrs
آئرش	ɑːɪrʃ
آئرن	ɑːɪrn
آئس	ɑɪs
آئلے	ɑːleː
آئند	ɑ̃ːi̯nd̪
آئندہ	ɑːɪnd̪ə
آئی	əɪ
آئیڈیا	ɑːɪdɪjɑː
آئیلینڈ	ɑɪlɑːnd
آئین	ɑːɪ̃ːn
آئیندہ	ɑːɪndə
آئینی	ɑːiːniː
آئیں	ɑ̃ẽ
آئیے	aije
آئے	ɑːeː
آئے	ɑːjeː
آّاد	ɑːd
آّار	ɑːr
آاط	ɑːt̪
آاکنوں	ɑːkənõː
آب	ɑːb
آباد	ɑːbɑːd
آبادکاروں	ɑːbɑːd̪kɑːroːŋ
آبادی	ɑːbɑːd̪iː
آبشار	ɑːbʃɑːr
آبشاروں	ɑːbʃɑːrʊ̃
آپ	ɑːp
آپ-	ɑp
آپ	əp
آپریشن	əpriːʃən
آپریشنز	əpɾeːʃənz
آپریشنوں	əpɾɪʃənõː
آپس	ɑːps
آپس	əps
آپشن	ɑːpʃn
آپکا	əpkə
آپکو	ɑːpkoː
آپکی	ɑpki
آپکے	əpke
آپی	ɑːpiː
آپے	ɑpɛ
آت	ɑːt̪
آتا	ɑːt̪ɑː
آتا	ɑːt̪ɑː
آتش	ɑːt̪ʃ
آتشبازی	ɑːtʃʰbɑːzi
آتشیں	ɑːt̪ʃeːn
آتہ	ɑːt̪ə
آتی	ɑːtiː
آتی	ɑːt̪iː
آتے	ɑːteː
آثار	ɑːt̪ɑːr
آثار	ɑːθɑːrɑː
آٹا	ɑːt̪ɑː
آٹھ	ɑːʈʰ
آٹھویں	ɑːʈʰʋeːn
آٹو	ɔːt̪oː
آٹوموبائل	ɑːt̪oːmoːbɑɪl
آٹومیشن	ɑːt̪oːmɪʃːən
آٹے	ɑːʈeː
آج	ɑːdʒ
آج	əg
آجا	ɑːdʒɑː
آجاؤ	əˈdʒɔː
آجائیں	ədʒɑːɪ̃
آجاتا	ɑːgətɑː
آجاتا	əˈdʒət̪ə
آجانا	ɑːdʒɑːnɑː
آجاو	əʒɑːʋ
آچکے	əʈʃke
آخر	ɑːkhir
آخرت	ɑːxtər
آخرکار	ɑːkɛrkɑːr
آخری	ɑːxri
آخری	ɔkɾi
آداب	ɑːdɑːb
آداب	ɑːd̪ɑːb
آدم	ɑːd̪əm
آدمی	ɑːdmi
آدمی	ɑːd̪miː
آدمیوں	ɑːd̪mijõː
آدھ	ɑːd̪ʱ
آدھا	ɑːd̪ʱə
آدھا	əːd̪ʱə
آدھی	ɑːd̪ʱiː
آدھی	əːd̪ʱiː
آدھے	ɑːd̪ʱeː
آذربائیجان	ɑːzɛɾbɑːɪjɑːn
آڈیٹر	ɑːdɪt̪əɾ
آڈیٹوریم	ɑːdiːt̪uːriːm
آڈیو	ɑːd̪iːoː
آر	ɑːr
آرا	ɑːrɑː
آرائش	ɑːɾɑːɪʃ
آرام	ɑːrɑːm
آرام	ɑːrɑːm
آرٹ	ɑːɾt̪
آرٹ	ɑːɾʈ
آرٹلری	ɑːɾt̪ɪlɾiː
آرٹی	ɑːrt̪iː
آرڈر	ɑːɾd̪əɾ
آرڈمر	ɑːɾd̪mər
آرسیی	ɑːɾsiː
آرکائیو	ɑːɾkɑːɪuː
آرگنائزیشن	ɑːrgɪnaɪˈʒiːʃən
آرلینڈو	ɑːrlɛnɖoː
آرمن	ɑːrmeːn
آرہا	ɑːrɑː
آرہا	ɑːɾʰɑː
آرہی	ɑːɾʰiː
آرہے	ɑːrɑːe
آرہے	ɑːrɑːɦeː
آریئر	ɑːriːjəɾ
آریائی	ɑːɾiːɑː
آزاد	ɑːzɑːd
آزاد	ɑːzɑːd
آزادانہ	ɑːzɑːd̪ɑːnə
آزادی	ɑːzɑːd̪iː
آزادی	ɑːzɑːdɪ
آزادیوں	ɑːzɑːd̪ijõː
آزما	ɑːzmɑː
آزمائش	ɑːzmɑːiːʃ
آڑ	ɑːɽ
آڑو	ɑːɽʊ
آس	ɑːs
آسان	ɑːsɑːn
آسان	ɑːsɑːn
آسانی	ɑːsɑːni
آسانی	ɑːsɑːniː
آسٹریا	ɑːstɾiːjɑː
آسکر	ɑːskər
آسکے	əskɛ
آسمان	ɑːsmaːn
آسمان	ɑːsmɑːn
آسمان	ɑːsmɑːn
آسمانوں	ɑːsmɑːnõː
آسمانوں	ɑːsmɑːnõː
آسمانی	ɑːsmɑːniː
آشام	əʃɑm
آشاہین	ɑːʃɑːhɪn
آشنائی	ɑːʃnɑːi
آغاز	ɑːgɑːz
آف	ɑːf
آفت	ɑːft
آفتاب	ɑːftɑːb
آفٹر	ɑːftər
آفریدی	ɑːfɾiːdiː
آفس	ɑːfɪs
آفیسر	ɑːfɪsər
آقا	ɑːqɑː
آکاشگنگا	ɑːkɑːʃgəŋgɑː
آکٹپس	ɑːkʈʰips
آکر	ɑːkəɾ
آکر	ɑkər
آکسیجن	ɑːksɪg̪n̪
آکلینڈ	ɑːkleɪnd
آگ	ɑːg
آگ	ɑːg
آگئی	əgeː
آگئیں	ɑːgeː
آگاہ	ɑːgɑː
آگزبرگ	ɑːgzbəɾg
آگیا	əgijə
آگیا	əgjɑ
آگے	ɑːge
آگے	əgeː
آل	ɑːl
آلا	ɑːlɑː
آلات	ɑːlɑːt
آلگائے	ɑːlgɑːe
آلہ	ɑːlə
آلو	ɑːluː
آلود	ɑːluːd
آلے	ɑːleː
آم	ɑːm
آمادہ	ɑːmɑːd̪ɑː
آمد	ɑːməd
آمدنی	ɑːməd̪niː
آمدید	ɑːmɛdɪd
آمرانہ	ɑːməɾɑːnə
آمنے	əˈmæne
آمیز	əmiːz
آمین	ɑːmiːn
آن	ɑːn
آنا	ɑːnɑː
آنا	ɑːnɑː
آنتوں	əːn̪t̪oːn̪
آنسو	ɑ̃ːso
آنسو	ɑ̃ːsuː
آنسو	ɑ̃ːsʊ
آنکھ	ɑ̃ːkʰ
آنکھ	ɑ̃kʰ
آنکھوں	ɑ̃ːkʰõː
آنکھوں	ɑ̃kʰõː
آنکھیں	ɑ̃kʰeːn
آنکھیں	ɑ̃kʰeːn
آنی	əˈniː
آنے	əne
آنے	əne
آں	ɑ̃
آہ	ɑː
آْہ	ɑː
آہا	ɑːhɑː
آہج	ɑːɦdʒ
آہستہ	ɑːhst̪ə
آہستہ	ɑːst̪ə
آہنگی	ɑːhɪŋgiː
آہیں	ɑ̃e̯
آو	ɑːʊ
آو	ɔː
آواز	ɑːʋɑːz
آواز	ɑːwɑːz
آوازوں	ɑːʋɑːzʊ̃
آوازیں	ɑːwɑːzɪ̃
آوروں	ɑːʋəɾõː
آوی	ɑːʋiː
آیئے	aije
آیا	ɑːjɑː
آیا	ɑːjɑː
آیت	ɑːɪt
آینگے	əɪŋe
أàء	ɑː
َأ	ɑ
ِأ	ə
أµéہج	ɑːɾɪg
أµب	ɑːb
أءِ	ɑː
أءز	ɑːz
أؤ	ɔː
أؤءظ	ɔːɑːz
أؤر	ɔːr
ُأئ	ɑːi
أئ	ɑːiː
أار	ɑːr
أاط	ɑːt̪
أب	ɑb
أت	ɑt
أتہ	əˈt̪ə
أثہ	əθə
أر	ɑr
أرµ	ɑrɪ
أرہ	əɾə
أش	əʃ
أض	ɑdʒ
أك	ək
أكء	ək
أكأّہ	əkɑːh
أمونيوس	əmoːniːus
أہ	ə
أہْ	ə
أّہج	ɑːɦdʒ
أہغاد	əɦgɑːd
أہغار	əɣɑːr
أہغاطµµ	əɦgɑːt̪ʊ
أہه	əhe
أو	ɔː
أوريستيس	ʔuːɾɪsˈtɪs
ؤà	ɔː
ؤ	ə
ؤـ	ə
ْؤ	ɔː
ؤûءî	ɔː
ـؤ	ʔoː
ؤأأ	ɑː
ؤإ	ɔː
ؤا	ɔː
ؤاد	ɔːd
ؤار	ɔːr
ؤةہج	ɔːhɑːdʒ
ؤجئ	ɔdʒe
ٌؤر	ʊr
ؤرجاوان	ɔɾdʒɑːʋɑːn
ؤع	ɔː
ؤں	ɒ̃
ؤھآùہ	ɔːɦɑː
ؤـہ	ɔː
ؤہ	ɔː
ْؤہ	ɔː
ؤہخ	ɔx
إëؤ	ɛo
إëب	ɛːb
إëہج	ɛhɛdʒ
َإ	ə
ِإ	ə
إً	ɪ
إµéہ	ɪmˈdʌr
إµéہا	ɪmˈdʌr
إµéہج	ɪmɑːdʒ
إء	ə
إءِ	ə
إءز	ɑz
إآ	ɑː
َإآ	əɪ
إأل	ɑːl
إأہ	ɑː
إئ	ɛ
إاد	ɛːd
إادءِ	ɑːd̪eː
إاط	ɛt̪t̪
إاك	ɑːk
إب	ɪb
إح	ɪh
إحءِ	ɪhɑː
إحءّ	ɪhɑː
إد	ɪd
إدہا	ɪd̪ʱɑ
إذ	ɪð
إغہج	ɪɣɑdʒ
إن	ɪn
َإن	ɪn
إہ	əɪ
إہا	əɪhɑː
إہج	əiɦdʒ
إُہش	əɦɪʃ
إُہع	əɦæ
إُہعاد	əhuˈd̪æːd̪
إُہعادءِ	əɦwaːd̪eː
إواà	əwɑː
ئç	ɛ
ئ	ə
ئَ	ə
ئْ	ə
ئٍ	ɛ
ِئ	ɛ
ئّ	ɛː
ئûئنہج	ɑːɪnɑːdʒ
ئûئنہجءز	ɑːɪnɑːdʒʌz
ئûئنہجہا	ɑːnɑːdʒhɑː
ئµ	ɑː
ئµé	ɪʃtɪkʰɑːr
ئµéہ	ɑːɾɪ
ئµéہج	ʔɪsɪ
ئّµµµéہا	ɑːɾɑː
ئµه	əme
ئء	ə
ئءض	ɛɖ
ئءضءِ	əɽ
ئءل	ɑl
ئأ	ɑː
ئؤ	ɔː
ئؤئ	ɔɪ
ئإ	ɛ
ئئ	ə
ئئغ	əɣ
ئا	ɑː
ئاأ	ɑː
ئاد	ɑːd
ئاك	ək
ئاكءِ	əˈkʰeː
ئاكہ	əˈkʰə
ـئاہجءز	əɪhɟəz
ـئاہش	əɪʃ
ئب	əp
ئبµµ	əpə
ئبہ	əbe
ئبہج	əbeɣ
ئث	əθ
ئدبھی-1	ɛd̪bʱi
ئذ	əɪn
ئذئ	æɪn
ئغ	ɣ
ئغءٌ	əɣu
ئل	ɛl
ئماندار	ɪmɑːnd̪ɑːr
ئن	ə̃
ئہ	ə
ئہْ	ə
ئہا	ə
ئہج	əɣ
ئہخ	əx
ئہخµéہ	əxu
ئہشµç	əɪʃ
ئہض	əɦd̪
ئہضہ	əɦd̪ə
ئيء	əɪ
ئياد	ɛjɑːd
ئيب	ɪb
ئيہجءِ	ɛːɦdʒeː
ئیڈی	ɛːɖiː
ئے	jeː
اà	ɑː
اàµ	ɑː
اàہج	ɑːɦɑdʒ
اّ	ɑː
اè	æ
اê	æ
اèار	ɑːr
اèاص	əˈs
ا	ə
اï	əɪ
اô	ɔː
اُ	uː
ّاü	ɑː
اû	ɔː
اüء	ɑː
اùاز	ɔːz
اùہâ	əʊhɑː
اµ	ɑː
اµéہج	ɑːmɑːdʒ
اء	ɑː
اأ	ɑː
اأہج	əɦdʒ
ائیر	ɑɪr
اا	ɑː
ااإُ	ɑːbɪr
ااإح	əɪh
ااد	ɑːd
اب	əp
ابأؤ	ɑbɑu
ابا	əˈbɑ
ابتدا	əpt̪əda
ابتداء	əbaːtˁiː
ابتدائی	əbt̪əd̪ɑːiː
ابر	əbr
ابرار	əbrɑːr
ابراہام	əbraːɦɑːm
ابراہیم	əbrɑːhɪm
ابرو	əˈbɾo
ابلاغ	əplɑːɣ
ابھر	əpʰr̥
ابھی	əbiː
ابو	əbo
ابوظہبی	əbuzˈhæbi
ابے	əbeː
اپ	əp
اپاچی	əpɑtʃi
اپارٹمنٹ	əpɑːrt̪mɛ̃ːt̪
اپالو	əpɑːlʊ
اپالُوی	əpɑluːi
اپددر	əpd̪əɽ
اپریل	əpɾiːl
اپمانت	əpmənt
اپنا	ɑːpnɑː
اپنا	əpnə
اپنانے	əpnaːneː
اپنوں	əpnoː
اپنی	əpniː
اپنے	əpne
اپنےمنہ	əpneːmen
اپہاس	əpəɦɑs
ات	ɑt
ِاتµه	ɪt̪ʰe
اتإح	ɑt̪ɪh
اتار	əˈt̪ɑːr
اُتارا	ʊt̪ɑːrɑː
اتارنا	ɑt̪ɑrnɑ
اتارنے	ətaːrɳe
اتارو	ɑt̪ɑrʊ
اتاولے	ɑt̪ɑu̯lɛ
اتحاد	ɪtːɑhɑd
اتحادی	ɪt̪ʰaːdʒiː
اتحادیوں	ɪt̪ʰaːdʒʱʊːd̪oːŋ
اتدیئ	ɑt̪d̪iː
اتر	ʊt̪r̪
اترا	əˈt̪rɑ
اترائی	ʊt̪ɾɑːɪ
اترتے	ət̪eːɾteː
اترنا	ʔʈərnə
اترنے	ət̪rənẽ
اترو	ɑt̪roː
اتساہی	ət̪sɑːhiː
اتفاق	ɪt̪ɑːq
اتفاقا	ɪt̪t̪efɑːqən
اتکرجتا	ətkərdʒtə
اْتنا	ətnɑ
اتنا	ət̪nə
اتنظار	ɑt̪n̪əz̪ɑr
اْتنی	ətni
اتنی	ət̪niː
اتنے	ət̪neː
اتھارٹی	əθɑːɾtiː
اتوار	ɑt̪ʋɑr
اثاثہ	əθɑːsə
اثر	əθər
اثرات	əθrɑːt
اثنا	əθnɑ
اثناء	əθnɑe
اٹارنی	ɑːt̪əɾniː
اٹاری	əʈaːri
اٹلانٹک	ɑːt̪lɑ̃ːt̪k
اٹلس	ɑt̪əls
اٹھ	əʈ
اٹھا	əʈʰɑː
اُٹھا	ʊʈʰɑː
اٹھاؤ	əʈʰɑːo
اٹھائیں	əʈʰɑːẽː
اْٹھائیں	əʈʰɑ̃ẽ
اٹھائے	əʈʰɑːe
اٹھاتے	əʈʰɑːte
اٹھارہ	əʈəɾə
اٹھانا	əʈʰənə
اٹھانے	əʈʰɑːne
اٹھاو	əʈʰɑːʋ
اْٹھاو	əʈʰɑːʋ
اٹھایئں	əʈʰɑːjẽ
اٹھایا	əʈʰɑːjɑː
اٹھنا	əʈna
اٹھو	əʈʰoː
اٹھی	əʈʰiː
اٹھیں	əʈʰeːn
اٹھے	əʈʰe
اٹیرنا	əʈeːrna
اٹیک	ət̪ɪk
اجارہ	əgɑːɾɑː
اجازت	əgɑːzət
اجتماع	ɪdʒt̪ɪmaːʔ
اجتماعات	ɪsːɑːgɑːmɑːt
اجر	əgər
اجرا	əgɾɑ
اجزاء	əgzɑːe
اجسام	əgzɑːm
اجلاس	əglɑs
اجلاسوں	əglɑːsõː
اجمود	ɛdʒmoːd
اجنبی	əgnbi
اجنبیوں	əgnbijoːn
اجھل	əʒl
اجوائن	əgoːɪ̃
اجیئ	əgiː
اچانک	ətʃɑ̃k
اچکائے	əʧkɑːje
اچھا	ətʃʰɑ
اچھائی	ətʃʰɑːiː
اچھال	ətʃʰɑl
اچھالا	ətʃʰɑlɑ
اچھی	ətʃʰiː
اچھے	ətʃʰeː
احاطہ	əɦɑːt̪ə
احاطوں	əɦɑːt̪õː
احاطے	əɦɑːt̪eː
احتجاج	əɦt̪dʒɑːʒ
احترام	əɦtəɾɑm
احتراماً	əɦtɾɑmɑ̃
احتساب	əɦt̪sɑbɑd̪
احتمال	ɑːt̪iːmɑːl
احتیاط	əɦtiːʔ
احتیاطا	əɦtiːʔɑː
احتیاطی	əɦtiːət̪iː
احساس	əɦsɑs
احساس	ʔæɦˈsɑːs
احساسات	əɦsɑsɑt
احکام	əɦkɑːm
احکامات	əħkɑmɑt
احمد	əˈhæmd
احمدبیٹا	əɦməd̪bɪt̪a
احمر	ɑhmər
احمق	əħmɑq
احمقانہ	əħmɑqɑnɑ
احمقوں	əhmqõː
اخإ	əxɪ
اخبار	əxˈbɑːr
اخبارات	əxbɑːɾɑːt̪
اخباری	əxbaːri
اختتام	əxt̪əmə
اخترتی	əxt̪eɾti
اختلاف	ɪxteɽɑf
اختلافات	ɪxtɪlaːɣɑːt
اختیار	əxt̪iɑːr
اختیارات	əxtiːɾɑːt̪
اخذ	əxð
اخراج	əxrɑːdʒ
اخراجات	əxɾɑːdʒət
اخروٹ	əxroːʈ
اخلاقی	əxlaːqi
اخلاقیات	əxlaːqijɑːt
اخی	əxɪ
اد	ɑːd
ٌاد	ɑːd
ّاد	ɑːd
ْاد	ɑːd
ِاد	ɪd
ادµµ	ədeːm
ّادءّ	ɑːdɑː
ادءِ	ɑːd̪eː
ادءّ	ɑːd̪eː
ٌادءِ	ʔaːdi
ادءز	ədeːz
ادا	əˈd̪ɑ
ادائیگی	ədaːigi
ادائیگی	əd̪ɑːeːgiː
ادار	əˈd̪ɑːr
ادارتی	ədaːrtiː
اداروں	əd̪ɑːɾoːŋ
ادارے	ədaːɾeː
اداس	əˈdɑs
اداسی	ədaːsiː
اداکاری	ədaːkɑːriː
ادب	əd̪b
ادخال	ɑdˈxɑːl
ادراک	ədɾɑk
ادقارکرتا	əˈd̪ʌrˌkɑːrˌt̪ɑː
ادکارتا	ədaːkɑːɾtɑː
ادھار	ədaːr
ادھر	əɖʱə
اْدھر	əɖʱə
ادھورا	əɖʱoːrɑ
ادھوری	əɖʱoːri
ادھیڑ	əɖʱiːɽ
ادہع	ədaː
ِادہف	ɑːd̪ʌhf
ادہف	ədaːf
ادویات	ədʋijɑːt
اذ	əð
اذان	əðɑn
اذیت	əˈzɪt
اذیتیں	əˈdʒiːt̪iːŋ
اڈہ	əɖə
اڈوں	əɽõː
اڈے	əɽe
ـار	ɑr
َار	ɑr
ِار	ɑr
ّار	ɑr
ار	əɾ
ارµµ	əɾəɾ
ارµخ	ɑrɪkʰ
ًارإ	ɑrɪ
ارإ	əɾe
ارادہ	əɾɑːd̪ə
ارادی	əɾaːdiː
ارادے	əɾɑːd̪eː
اراکین	əɾɑːkiːn
ارب	ɑrbʊ
اربپتی	ərbʌpt̪i
اربوں	ərˈbõː
ارتقاء	ɑːrt̪qɑːʔ
ارتکاب	ɑːrt̪kɑːb
ارد	ɑːɾd
اردگرد	ɑːrdgʊrd
اردن	ɑːrd̪n
اردنی	ərd̪niː
ارسال	ɑːrsɑːl
ارسترخس	ɑːrʌst̪rɪx
ارضیاتی	ərdʒiɑːti
ارکان	əɾkɑn
ارہـاط	əɾɑːt̪
ارے	əɾe
ّاز	ɑz
از	əz
ازارہ	əzaːrɑ
ازالہ	əzaːlə
ازراہِ	əˈzəɾɑhɪ
ازسرنو	əˈzərnu
ازگر	əˈzgəɾ
ازلی	əˈzli
اڑ	əɽ
اڑا	əɽə
اڑائیے	ɔɽɑiː
اڑادیتے	əɽɑːdɪt̪eː
اڑان	əɽɑːn
اڑانے	əɽɑːne
اڑتے	ɔɽte
اڑی	əɽi
اس	əs
اْس	əs
اِس	ɪs
اساتذہ	əsɑt̪ʌð̪e
اسامہ	əsaːmə
اسپاٹ	əspɑːt
اسپاسِس	əspɑsɪs
اسپاسیس	əspɑːsiːs
اسپتال	əspətaːl
اسپیکر	əspiːkəɾ
اسپین	əspiːn
استاد	ɪst̪ɑːd̪
اْستانی	ɑːst̪aniː
استثناءحاصل	ɪst̪t̪ɑ̃jɑ̃hɑːsɪl
استحصال	ɪst̪ʰəsaːl
استحقاق	ɪst̪ʰɪqɑq
استحکام	ɪst̪ʰkɑːm
استخلاف	ɪst̪exlɑːf
استر	ɪst̪r
استعفی	ɪstɑfɪ
استعمال	ɪstɪmɑːl
استفسار	ɪst̪fəsɑr
استقبال	ɪstɪkˈbɑl
استقبالیہ	ɪstɪkɑːbəliː
استنبول	ɪstæmbʊl
اسٹار	ɪst̪əɾ
اسٹاف	əst̪ɑːf
اسٹریٹ	əsˈtɾiːt̪
اسٹریٹجک	əst̪ɾiːt̪gɪk
اسٹوری	ɪsʈoːɾiː
اسٹیٹ	ɪst̪eːt̪
اسٹیج	əst̪eːdʒ
اسٹیڈیم	əst̪eːd̪iːm
اسٹیشن	əstiːʃən
اسٹینڈ	ɪsʈæ̃d̪ː
اسٹینڈز	əsˈt̪æːnd̪z
اسٹیو	ɪsˈtiːoː
اسٹیورٹ	əst̪iːʋəɾt̪
اسرائلیوں	ɪsɾɑːɪlijõː
اسرائیل	ɪsraːˈʔiːl
اسرائیلی	ɪsɾɑːɾɑɪliː
اسرائیلیوں	ɪsraːɪlɪjõː
اسرار	ɪsɾɑːɾ
اسسٹنٹ	əsistənt
اسعمال	əsæmæl
اسکا	əska
اسکائپ	ɪskɑːpɪ
اسکالر	əskɑːləɾ
اسکریننگ	əskriːnɪŋ
اسکندریہ	ɪskəndəɾiː
اسکوائر	ɪskuɑːjɪr
اسکواڈ	ɪskɑːd̪
