吖笨	aa˥ ban˨
阿闍黎	aa˧ se˨˩ lai˨˩
阿四	aa˧ sei˧
阿水	aa˧ seoi˧˥
亞斯伯格	aa˧ si˥ baak˧ gaak˧
阿司匹林	aa˧ si˥ pat˥ lam˨˩
阿斯匹林	aa˧ si˥ pat˥ lam˨˩
亞斯匹靈	aa˧ si˥ pat˥ ling˨˩
阿斯匹靈	aa˧ si˥ pat˥ ling˨˩
亞視	aa˧ si˨
亞氏保加	aa˧ si˨ bou˧˥ gaa˥
亞士匹靈	aa˧ si˨ pat˥ ling˨˩
阿士匹靈	aa˧ si˨ pat˥ ling˨˩
亞視臺	aa˧ si˨ toi˨˩
阿嬋	aa˧ sim˨˩
阿仙奴	aa˧ sin˥ nou˨˩
阿星	aa˧ sing˥
亞聖	aa˧ sing˧
亞硝酸	aa˧ siu˥ syun˥
亞硝酸鈉	aa˧ siu˥ syun˥ naap˨
亞嫂	aa˧ sou˧˥
阿嫂	aa˧ sou˧˥
亞叔	aa˧ suk˥
阿叔	aa˧ suk˥
阿太	aa˧ taai˧˥
亞太	aa˧ taai˧
阿頭	aa˧ tau˧˥
阿駝行路	aa˧ to˧˥ haang˥ lou˨
阿駝賣蝦米	aa˧ to˧˥ maai˨ haa˥ mai˩˧
阿駝瞓棺材	aa˧ to˨˩ fan˧ gun˥ coi˨˩
阿托品	aa˧ tok˧ ban˧˥
阿威阿水	aa˧ wai˥ aa˧ seoi˧˥
阿維拉	aa˧ wai˨˩ laai˥
掗位	aa˧ wai˨
亞運會	aa˧ wan˨ wui˧˥
亞仔	aa˧ zai˧˥
阿仔	aa˧ zai˧˥
亞洲	aa˧ zau˥
亞洲電視	aa˧ zau˥ din˨ si˨
亞洲豹	aa˧ zau˥ paau˧
亞洲綬帶	aa˧ zau˥ sau˨ daai˧˥
亞洲周刊	aa˧ zau˥ zau˥ hon˧˥
阿姐	aa˧ ze˥
阿吱阿咗	aa˧ zi˥ aa˧ zo˥
阿吱阿咗摩洛哥	aa˧ zi˥ aa˧ zo˥ mo˥ lok˨ go˥
亞吱亞咗	aa˧ zi˥ aa˧ zo˧˥
阿茲特克	aa˧ zi˥ dak˨ haak˥
亞枝竹	aa˧ zi˥ zuk˥
阿豬	aa˧ zyu˥
亞豬亞狗	aa˧ zyu˥ aa˧ gau˧˥
阿豬阿狗	aa˧ zyu˥ aa˧ gau˧˥
呀呀聲	aa˨˩ aa˧˥ seng˥
呀爸	aa˨˩ baa˥
呀嘛	aa˨ maa˩˧
啊嘛	aa˨ maa˩˧
阿嘥文	aa˨ saai˥ man˨˩
掗拃	aa˨ zaa˨
𦜖䐱	aa˨ zaa˨
掗字數	aa˨ zi˨ sou˧
哎吖	aai˥ aa˥
哎呀	aai˥ aa˥
唉唉	aai˥ aai˥
挨挨凭凭	aai˥ aai˥ bang˨ bang˨
挨挨憑憑	aai˥ aai˥ bang˨ bang˨
挨挨擠擠	aai˥ aai˥ zai˥ zai˥
挨憑	aai˥ beng˨
挨邊	aai˥ bin˥
埃博拉	aai˥ bok˧ laai˥
挨擦	aai˥ caat˧
挨次	aai˥ ci˧
埃塞俄比亞	aai˥ coi˧ ngo˨˩ bei˧˥ aa˧
埃迪卡拉	aai˥ dik˨ kaa˥ laai˥
埃夫伯里	aai˥ fu˥ baak˧ lei˩˧
挨街凭巷	aai˥ gaai˥ bang˨ hong˨
埃居	aai˥ geoi˥
挨個	aai˥ go˧
哎吔吔	aai˥ jaa˥ jaa˥
唉吔	aai˥ jaa˧
哎呦	aai˥ jau˥
哎喲	aai˥ jo˥
挨近	aai˥ kan˩˧
埃琳娜	aai˥ lam˨˩ naa˨˩
挨晚	aai˥ maan˥
挨門	aai˥ mun˨˩
挨年近晚	aai˥ nin˨˩ gan˨ maan˩˧
挨屏	aai˥ peng˥
挨拼	aai˥ peng˥
挨𩩍	aai˥ peng˥
挨憑椅	aai˥ peng˥ ji˧˥
挨拼椅	aai˥ peng˥ ji˧˥
挨𩩍椅	aai˥ peng˥ ji˧˥
挨身挨勢	aai˥ san˥ aai˥ sai˧
唉聲嘆氣	aai˥ seng˥ taan˧ hei˧
埃斯庫多	aai˥ si˥ fu˧ do˥
挨時間	aai˥ si˨˩ gaan˧
挨踢	aai˥ tek˧
挨話	aai˥ waa˧˥
挨擠	aai˥ zai˥
唉姐	aai˥ ze˧˥
挨住	aai˥ zyu˨
嗌杯嘢飲	aai˧ bui˥ je˩˧ jam˧˥
嗌餐懵	aai˧ caan˥ mung˧˥
嗌到拆	aai˧ dou˧˥ caak˧
嗌分手	aai˧ fan˥ sau˧˥
嗌街婆	aai˧ gaai˥ po˧˥
嗌交	aai˧ gaau˥
嗌救命	aai˧ gau˧ meng˨
隘谷	aai˧ guk˥
嗌一場交	aai˧ jat˥ coeng˨˩ gaau˥
嗌嘢	aai˧ je˩˧
嗌嘢飲	aai˧ je˩˧ jam˧˥
嗌嘢食	aai˧ je˩˧ sik˨
嗌嘢食呀	aai˧ je˩˧ sik˨ aa˨˩
嗌佢過嚟	aai˧ keoi˩˧ gwo˧ lai˨˩
嗌佢去	aai˧ keoi˩˧ heoi˧
嗌來嗌去	aai˧ loi˨˩ aai˧ heoi˧
嗌唔喐	aai˧ m˨˩ juk˥
嗌乜嘢	aai˧ mat˥ je˩˧
嗌名	aai˧ meng˨˩
嗌你	aai˧ nei˩˧
嗌外賣	aai˧ ngoi˨ maai˨
嗌破喉嚨	aai˧ po˧ hau˨˩ lung˨˩
嗌生嗌死	aai˧ saang˥ aai˧ sei˧˥
嗌生晒	aai˧ saang˥ saai˧
嗌霎	aai˧ saap˧
嗌數	aai˧ sou˧
嗌餸食飯	aai˧ sung˧ sik˨ faan˨
嗌痛	aai˧ tung˧
唉唉聲	aai˨˩ aai˧˥ seng˥
呃呃騙騙	aak˥ aak˥ pin˧ pin˧
呃呃氹氹	aak˥ aak˥ tam˧ tam˧
呃呃𠱁𠱁	aak˥ aak˥ tam˧ tam˧
握別	aak˥ bit˨
呃得就呃	aak˥ dak˥ zau˨ aak˥
厄境	aak˥ ging˧˥
厄瓜多爾	aak˥ gwaa˥ do˥ ji˩˧
扼喉撫背	aak˥ hau˨˩ fu˧˥ bui˧
呃人呃物	aak˥ jan˨˩ aak˥ mat˨
呃逆	aak˥ jik˨
握權	aak˥ kyun˨˩
厄立特里亞	aak˥ laap˨ dak˨ lei˨˩ aa˧
厄勒海峽	aak˥ lak˨ hoi˧˥ haap˨
握力	aak˥ lik˨
呃唔倒	aak˥ m˨˩ dou˧˥
厄難	aak˥ naan˨
呃晒	aak˥ saai˧
呃神騙鬼	aak˥ san˨˩ pin˧ gwai˧˥
握手	aak˥ sau˧˥
握手言和	aak˥ sau˧˥ jin˨˩ wo˨˩
厄運	aak˥ wan˨
扼制	aak˥ zai˧
握住	aak˥ zyu˨
啱用	aam˥ jung˨
啱使	aam˥ sai˧˥
啱身	aam˥ san˥
啱數	aam˥ sou˧
啱咀形	aam˥ zeoi˧˥ jing˨˩
啱嘴形	aam˥ zeoi˧˥ jing˨˩
唵嘛呢叭咪吽	aan˥ maa˥ ni˥ paa˥ mi˥ hung˥
晏班	aan˧ baan˥
晏駕	aan˧ gaa˧
晏覺	aan˧ gaau˧
晏嬰	aan˧ jing˥
晏晝	aan˧ zau˧
晏畫	aan˧ zau˧
晏晝飯	aan˧ zau˧ faan˨
晏子	aan˧ zi˧˥
晏子春秋	aan˧ zi˧˥ ceon˥ cau˥
罌粟	aang˥ suk˥
罌粟種子	aang˥ suk˥ zung˧˥ zi˧˥
鴨店	aap˧˥ dim˧
鴨巴甸	aap˧ baa˥ din˨
鴨蛋青	aap˧ daan˧˥ ceng˥
鴨記	aap˧ gei˧
鴨叫	aap˧ giu˧
鴨腳栗	aap˧ goek˧ suk˥
鴨腳粟	aap˧ goek˧ suk˥
鴨腳扎	aap˧ goek˧ zaat˧
鴨殻	aap˧ hok˧
鴨血	aap˧ hyut˧
鴨絨	aap˧ jung˧˥
鴨絨毛	aap˧ jung˨˩ mou˨˩
鴨脷	aap˧ lei˨
鴨脷洲	aap˧ lei˨ zau˥
鴨苗	aap˧ miu˨˩
鴨毛	aap˧ mou˨˩
鴨乸	aap˧ naa˧˥
鴨乸蹄	aap˧ naa˧˥ tai˨˩
鴨片	aap˧ pin˧˥
鴨朴	aap˧ pok˧
鴨細膍胵大	aap˧ sai˧ fu˨˩ ci˧ daai˨
鴨腎	aap˧ san˩˧
鴨屎綠	aap˧ si˧˥ luk˨
鴨舌帽	aap˧ sit˧ mou˧˥
押韻	aap˧ wan˩˧
鴨仔	aap˧ zai˧˥
鴨仔蛋	aap˧ zai˧˥ daan˧˥
鴨仔聽雷	aap˧ zai˧˥ teng˥ leoi˨˩
鴨仔聽雷公	aap˧ zai˧˥ teng˥ leoi˨˩ gung˥
鴨仔團	aap˧ zai˧˥ tyun˨˩
鴨胗	aap˧ zan˥
鴨洲	aap˧ zau˥
鴨咀梨	aap˧ zeoi˧˥ lei˧˥
鴨嘴梨	aap˧ zeoi˧˥ lei˧˥
鴨咀帽	aap˧ zeoi˧˥ mou˧˥
鴨嘴帽	aap˧ zeoi˧˥ mou˧˥
鴨咀獸	aap˧ zeoi˧˥ sau˧
鴨嘴獸	aap˧ zeoi˧˥ sau˧
鴨子	aap˧ zi˧˥
鴨掌	aap˧ zoeng˧˥
壓壓腳	aat˧ aat˧ goek˧
壓板	aat˧ baan˧˥
壓迫	aat˧ bik˥
壓迫感	aat˧ bik˥ gam˧˥
壓逼感	aat˧ bik˥ gam˧˥
壓寶	aat˧ bou˧˥
押車	aat˧ ce˥
壓場	aat˧ coeng˨˩
壓低	aat˧ dai˥
壓底	aat˧ dai˧˥
壓碇	aat˧ deng˨
壓電體	aat˧ din˨ tai˧˥
押當	aat˧ dong˧
壓倒	aat˧ dou˧˥
壓倒多數	aat˧ dou˧˥ do˥ sou˧
壓倒性	aat˧ dou˧˥ sing˧
壓伏	aat˧ fuk˨
押款	aat˧ fun˧˥
壓價	aat˧ gaa˧
押解	aat˧ gaai˧
押金	aat˧ gam˥
壓緊	aat˧ gan˧˥
壓驚	aat˧ ging˥
壓境	aat˧ ging˧˥
押櫃	aat˧ gwaai˧˥
壓克力	aat˧ hak˥ lik˨
押後	aat˧ hau˨
押號	aat˧ hou˨
壓而不服	aat˧ ji˨˩ bat˥ fuk˨
壓抑	aat˧ jik˥
遏抑	aat˧ jik˥
壓抑感	aat˧ jik˥ gam˧˥
壓延機	aat˧ jin˨˩ gei˥
押獄	aat˧ juk˨
猰貐	aat˧ jyu˩˧
壓力	aat˧ lik˨
壓力表	aat˧ lik˨ biu˥
壓力煲	aat˧ lik˨ bou˥
壓力計	aat˧ lik˨ gai˧
壓力強度	aat˧ lik˨ koeng˨˩ dou˨
壓埋	aat˧ maai˨˩
壓敏	aat˧ man˩˧
揠苗助長	aat˧ miu˨˩ zo˨ zoeng˧˥
押平聲韻	aat˧ ping˨˩ sing˥ wan˩˧
壓破	aat˧ po˧
壓歲	aat˧ seoi˧
壓歲錢	aat˧ seoi˧ cin˨˩
壓線鉗	aat˧ sin˧ kim˧˥
壓舌板	aat˧ sit˧ baan˧˥
壓縮	aat˧ suk˥
壓縮比	aat˧ suk˥ bei˧˥
壓縮檔	aat˧ suk˥ dong˧˥
壓縮空氣	aat˧ suk˥ hung˥ hei˧
壓縮力	aat˧ suk˥ lik˨
押送	aat˧ sung˧
壓蒜器	aat˧ syun˧ hei˧
壓臺戲	aat˧ toi˨˩ hei˧
壓壞	aat˧ waai˨
壓韻	aat˧ wan˩˧
押韻	aat˧ wan˩˧
押運員	aat˧ wan˨ jyun˨˩
壓榨	aat˧ zaa˧
壓榨機	aat˧ zaa˧ gei˥
壓擠	aat˧ zai˥
壓制	aat˧ zai˧
遏制	aat˧ zai˧
遏止	aat˧ zi˧˥
押租	aat˧ zou˥
壓軸	aat˧ zuk˨
押注	aat˧ zyu˧
壓住把火	aat˧ zyu˨ baa˧ fo˧˥
搲爆頭	aau˥ baau˧ tau˨˩
搲痕	aau˥ han˨˩
抓撈	aau˥ lou˥
拗晒頭	aau˥ saai˧ tau˨˩
𢯎晒頭	aau˥ saai˧ tau˨˩
拗頭	aau˥ tau˨˩
嗷嗚	aau˥ wu˥
拗胡婆	aau˥ wu˥ po˥
拗柴	aau˧˥ caai˨˩
拗薑	aau˧˥ goeng˥
拗口	aau˧˥ hau˧˥
拗軨	aau˧˥ ling˨˩
拗斷	aau˧˥ tyun˩˧
拗彎	aau˧˥ waan˥
拗橫	aau˧˥ waang˨˩
拗蔗鬚	aau˧˥ ze˧ sou˥
拗不過	aau˧ bat˥ gwo˧
抝柴	aau˧ caai˨˩
拗到掂	aau˧ dou˧ dim˨
詏交	aau˧ gaau˥
拗頸	aau˧ geng˧˥
詏頸	aau˧ geng˧˥
拗撬	aau˧ giu˨
詏撬	aau˧ giu˨
坳陷	aau˧ haam˨
拗陷	aau˧ haam˨
詏口	aau˧ hau˧˥
拗口令	aau˧ hau˧˥ ling˨
拗氣	aau˧ hei˧
詏氣	aau˧ hei˧
拗實	aau˧ sat˨
拗數	aau˧ sou˧
詏數	aau˧ sou˧
拗數口	aau˧ sou˧ hau˧˥
拗軨	aau˨˩ ling˨˩
囈囈篩篩	ai˥ ai˥ sai˥ sai˥
哎吔	ai˥ jaa˧
哎呀	ai˥ jaa˧
哎唷	ai˥ jo˧
矮矮細細	ai˧˥ ai˧˥ sai˧ sai˧
矮半截	ai˧˥ bun˧ zit˨
矮醜窮	ai˧˥ cau˧˥ kung˨˩
矮躉	ai˧˥ dan˧˥
矮櫈	ai˧˥ dang˧
矮凳仔	ai˧˥ dang˧ zai˧˥
矮櫈仔	ai˧˥ dang˧ zai˧˥
矮㾑㾑	ai˧˥ dap˥ dap˥
矮凸凸	ai˧˥ dat˥ dat˥
矮得得	ai˧˥ dat˥ dat˥
矮腯腯	ai˧˥ dat˥ dat˥
矮𠱂𠱂	ai˧˥ dat˥ dat˥
矮地茶	ai˧˥ dei˨ caa˨˩
矮墩墩	ai˧˥ deon˥ deon˥
矮啲腯	ai˧˥ di˥ dat˥
矮化	ai˧˥ faa˧
矮腳白菜	ai˧˥ goek˧ baak˨ coi˧
矮腳虎	ai˧˥ goek˧ fu˧˥
矮腳羅傘	ai˧˥ goek˧ lo˨˩ saan˧
矮腳占	ai˧˥ goek˧ zim˥
矮桿品種	ai˧˥ gon˥ ban˧˥ zung˧˥
矮瓜	ai˧˥ gwaa˥
矮行星	ai˧˥ hang˨˩ sing˥
矮茄	ai˧˥ ke˧˥
矮鹿	ai˧˥ luk˧˥
矮磨球	ai˧˥ mo˨ kau˨˩
矮磨碌	ai˧˥ mo˨ luk˥
矮門	ai˧˥ mun˧˥
矮細	ai˧˥ sai˧
矮小	ai˧˥ siu˧˥
矮小精悍	ai˧˥ siu˧˥ zing˥ hon˨
矮踭鞋	ai˧˥ zaang˥ haai˨˩
矮仔嘜	ai˧˥ zai˥ mak˥
矮仔	ai˧˥ zai˧˥
矮仔多計	ai˧˥ zai˧˥ do˥ gai˧˥
矮仔多計，矮女多仔	ai˧˥ zai˧˥ do˥ gai˧˥ ai˧˥ neoi˧˥ do˥ zai˧˥
矮仔粉	ai˧˥ zai˧˥ fan˧˥
矮仔嘜	ai˧˥ zai˧˥ mak˥
縊頸	ai˧ geng˧˥
曀焗	ai˧ guk˨
曀熱	ai˧ jit˨
翳悶	ai˧ mun˨
翳眼	ai˧ ngaan˩˧
縊殺	ai˧ saat˧
縊死	ai˧ sei˧˥
翳滯	ai˧ zai˨
厄瓜多爾	ak˥ gwaa˥ do˥ ji˩˧
啞然無生	ak˥ jin˨˩ mou˨˩ sang˥
扼要	ak˥ jiu˧
扼殺	ak˥ saat˧
扼實	ak˥ sat˨
握實	ak˥ sat˨
扼守	ak˥ sau˧˥
握手	ak˥ sau˧˥
渥太華	ak˥ taai˧ waa˨˩
厄運	ak˥ wan˨
鵪鶉	am˥ ceon˥
鵪鶉蛋	am˥ ceon˥ daan˧˥
諳練	am˥ lin˨
奄列	am˥ lit˨
奄列飯	am˥ lit˨ faan˨
庵堂	am˥ tong˨˩
揞到實	am˧˥ dou˧ sat˨
揞口費	am˧˥ hau˧˥ fai˧
黯然	am˧˥ jin˨˩
揞唔實	am˧˥ m˨˩ sat˨
揞脈	am˧˥ mak˨
揞密鑼鼓	am˧˥ mat˨ lo˨˩ gu˧˥
揞眼法	am˧˥ ngaan˩˧ faat˧
揞住良心	am˧˥ zyu˨ loeng˨˩ sam˥
揞住嘴笑	am˧˥ zyu˨ zeoi˧˥ siu˧
暗啞	am˧ aa˧˥
暗啞底	am˧ aa˧˥ dai˧˥
暗啞抵	am˧ aa˧˥ dai˧˥
暗啞抵啦	am˧ aa˧˥ dai˧˥ laa˥
暗暗	am˧ am˧
暗暗沉沉	am˧ am˧ cam˨˩ cam˨˩
暗病	am˧ beng˨
暗標	am˧ biu˥
暗察明訪	am˧ caat˧ ming˨˩ fong˧˥
暗斜	am˧ ce˧
暗娼	am˧ coeng˥
暗瘡	am˧ cong˥
暗瘡膏	am˧ cong˥ gou˥
暗藏	am˧ cong˨˩
暗處	am˧ cyu˧
暗串	am˧ cyun˧
暗寸	am˧ cyun˧
暗淡	am˧ daam˨
黯淡	am˧ daam˨
暗地	am˧ dei˨
暗地裏	am˧ dei˨ leoi˩˧
暗道	am˧ dou˨
暗度陳倉	am˧ dou˨ can˨˩ cong˥
暗花	am˧ faa˥
暗灰鵑鶪	am˧ fui˥ gyun˥ gwik˥
暗格	am˧ gaak˧
暗經	am˧ ging˥
