㓟皮	pʰɐi̯˥pʰei̯˨˩
㷫返熱	heŋ˧faːn˥jiːt̚˨
㷫過火屎	heŋ˧kʷɔː˧fɔː˧˥siː˧˥
㷫過焫雞	heŋ˧kʷɔː˧naːt̚˧kɐi̯˥
㷫過辣雞	heŋ˧kʷɔː˧naːt̚˧kɐi̯˥
㹴犬	kɐŋ˥hyːn˧˥
㺢㹢狓	fɔːk̚˧kaː˥pʰei̯˥
㾓㾓䠩䠩	jyːn˥jyːn˥kuːi̯˧kuːi̯˧
㾓氣	jyːn˥hei̯˧
㾓痛	jyːn˥tʰʊŋ˧
㿺㿭	paːu̯˧tsʰaːk̚˧
䁅頸	mɐŋ˧˥kɛːŋ˧˥
䁅𤿆	mɐŋ˧˥tsɐŋ˧˥
䁋埋眼	hiːp̚˧maːi̯˨˩ŋaːn˩˧
䁪下	tsaːm˧˥haː˩˧
䁪下眼	tsaːm˧˥haː˧˥ŋaːn˩˧
䁪下眼	tsaːm˧˥haː˩˧ŋaːn˩˧
䁪下眼就	tsaːm˧˥haː˩˧ŋaːn˩˧tsɐu̯˨
䁪眉䁪眼	tsaːm˧˥mei̯˨˩tsaːm˧˥ŋaːn˩˧
䁪眼	tsaːm˧˥ŋaːn˩˧
䁽眼	laːp̚˧ŋaːn˩˧
䂻死你	tsaːŋ˨sei̯˧˥nei̯˩˧
䂻飽	tsaːŋ˨paːu̯˧˥
䂿䂿趯	taːp̚˨taːp̚˨tʰik̚˥
䂿地	tɐm˨tei̯˨
䂿腳	tɐm˨kœːk̚˧
䂿骨	tɐp̚˨kʷɐt̚˥
䎺唔䎺	tsɐi̯˧m̩˨˩tsɐi̯˧
䎺唔過	tsɐi̯˧m̩˨˩kʷɔː˧
䒐䒏	mɐŋ˧˥tsɐŋ˧˥
䓤油餅	tsʰʊŋ˥jɐu̯˨˩pɛːŋ˧˥
䘒䘒	tsœː˨˩tsœː˥
䟴䟴下	ŋɐn˧ŋɐn˧haː˩˧
䟴䟴板	ŋɐn˧ŋɐn˧paːn˧˥
䟴䟴腳	ŋɐn˧ŋɐn˧kœːk̚˧
䟴腳	ŋɐn˧kœːk̚˧
䟴身䟴勢	ɐn˧sɐn˥ɐn˧sɐi̯˧
䟴高	ŋɐn˧kou̯˥
䠄牀䠄席	tiːn˧˥tsʰɔːŋ˨˩tiːn˧˥tsɛːk̚˨
䠄癮	tiːn˧˥jɐn˩˧
䡣路	wɐn˨lou̯˨
䩌晒皮	tsʰaːu̯˨˩saːi̯˧pʰei̯˨˩
䩌皮	tsʰaːu̯˨˩pʰei̯˨˩
䩌皮掹雞	tsʰaːu̯˨˩pʰei̯˨˩mɐŋ˥kɐi̯˥
䰾魚	paː˥jyː˧˥
䱽魚	tsʰɔːŋ˥jyː˧˥
䴉嘴鷸	waːn˨˩tsɵy̯˧˥wɐt̚˨
一㓤就穿	jɐt̚˥kɐt̚˥tsɐu̯˨tsʰyːn˥
一㧻就穿	jɐt̚˥tʊk̚˥tsɐu̯˨tsʰyːn˥
一一	jɐt̚˥jɐt̚˥
一一映射	jɐt̚˥jɐt̚˥jeŋ˧˥sɛː˨
一丁	jɐt̚˥teŋ˥
一丁不識	jɐt̚˥teŋ˥pɐt̚˥sik̚˥
一丁友	jɐt̚˥teŋ˥jɐu̯˧˥
一上一落	jɐt̚˥sœːŋ˩˧jɐt̚˥lɔːk̚˨
一下	jɐt̚˥haː˩˧
一下兒	jɐt̚˥haː˩˧jiː˨˩
一下子	jɐt̚˥haː˩˧tsiː˧˥
一不做二不休	jɐt̚˥pɐt̚˥tsou̯˨jiː˨pɐt̚˥jɐu̯˥
一世	jɐt̚˥sɐi̯˧
一世英名	jɐt̚˥sɐi̯˧jeŋ˥meŋ˨˩
一丘之貉	jɐt̚˥jɐu̯˥tsiː˥hɔːk̚˨
一个	jɐt̚˥kɔː˧
一中一臺	jɐt̚˥tsʊŋ˥jɐt̚˥tʰɔːi̯˨˩
一乾	jɐt̚˥kɔːn˥
一乾二淨	jɐt̚˥kɔːn˥jiː˨tsɛːŋ˨
一了百了	jɐt̚˥liːu̯˩˧paːk̚˧liːu̯˩˧
一事	jɐt̚˥siː˨
一事無成	jɐt̚˥siː˨mou̯˨˩seŋ˨˩
一二便	jɐt̚˥jiː˨piːn˨
一二邊	jɐt̚˥jiː˨piːn˨
一五一十	jɐt̚˥ŋ̍˩˧jɐt̚˥sɐp̚˨
一些	jɐt̚˥sɛː˥
一些些	jɐt̚˥sɛː˥sɛː˥
一人一支	jɐt̚˥jɐn˨˩jɐt̚˥tsiː˥
一人做事一人當	jɐt̚˥jɐn˨˩tsou̯˨siː˨jɐt̚˥jɐn˨˩tɔːŋ˥
一人少句	jɐt̚˥jɐn˨˩siːu̯˧˥kɵy̯˧
一人行一步	jɐt̚˥jɐn˨˩haːŋ˨˩jɐt̚˥pʰou̯̯˨
一人計短，二人計長	jɐt̚˥jɐn˨˩kɐi̯˧tyːn˧˥jiː˨jɐn˨˩kɐi̯˧tsʰœːŋ˨˩
一人退一步	jɐt̚˥jɐn˨˩tʰɵy̯˧jɐt̚˥pʰou̯̯˨
一仆一碌	jɐt̚˥pʰʊk̚˥jɐt̚˥lʊk̚˥
一仆一趢	jɐt̚˥pʰʊk̚˥jɐt̚˥lʊk̚˥
一仆一轆	jɐt̚˥pʰʊk̚˥jɐt̚˥lʊk̚˥
一介不取	jɐt̚˥kaːi̯˧pɐt̚˥tsʰɵy̯˧˥
一代	jɐt̚˥tɔːi̯˨
一代英豪	jɐt̚˥tɔːi̯˨jeŋ˥hou̯˨˩
一代豪傑	jɐt̚˥tɔːi̯˨hou̯˨˩kiːt̚˨
一件頭	jɐt̚˥kiːn˨tʰɐu̯˧˥
一份子	jɐt̚˥fɐn˨tsiː˧˥
一併	jɐt̚˥pʰeŋ˧
一來	jɐt̚˥lɔːi̯˨˩
一來二去	jɐt̚˥lɔːi̯˨˩jiː˨hɵy̯˧
一便	jɐt̚˥piːn˨
一係	jɐt̚˥hɐi̯˨
一個	jɐt̚˥kɔː˧
一個二個	jɐt̚˥kɔː˧jiː˨kɔː˧
一個人	jɐt̚˥kɔː˧jɐn˥
一個人	jɐt̚˥kɔː˧jɐn˨˩
一個係噉	jɐt̚˥kɔː˧hɐi̯˨kɐm˧˥
一個做好	jɐt̚˥kɔː˧tsou̯˨hou̯˧˥
一個億	jɐt̚˥kɔː˧jik̚˥
一個冇淨	jɐt̚˥kɔː˧mou̯˩˧tseŋ˨
一個勁兒	jɐt̚˥kɔː˧keŋ˨jiː˨˩
一個半鐘	jɐt̚˥kɔː˧puːn˧tsʊŋ˥
一個唔該	jɐt̚˥kɔː˧m̩˨˩kɔːi̯˥
一個啫	jɐt̚˥kɔː˧tsɛː˥
一個崩	jɐt̚˥kɔː˧pɐŋ˥
一個崩都冇	jɐt̚˥kɔː˧pɐŋ˥tʰou̯̯˥mou̯˩˧
一個崩都冇少到	jɐt̚˥kɔː˧pɐŋ˥tʰou̯̯˥mou̯˩˧siːu̯˧˥tʰou̯̯˧
一個巴仙	jɐt̚˥kɔː˧paː˥siːn˥
一個師兄	jɐt̚˥kɔː˧siː˥heŋ˥
一個招牌砸落嚟都砸死幾件	jɐt̚˥kɔː˧tsiːu̯˥pʰaːi̯˨˩tsaːk̚˧lɔːk̚˨lɐi̯˨˩tʰou̯̯˥tsaːk̚˧sei̯˧˥kʰei̯̯˧˥kiːn˨
一個號	jɐt̚˥kɔː˧hou̯˨
一個酸梅兩個覈	jɐt̚˥kɔː˧syːn˥muːi̯˨˩lœːŋ˩˧kɔː˧wɐt̚˨
一個鏰	jɐt̚˥kɔː˧pɐŋ˥
一個願打，一個願捱	jɐt̚˥kɔː˧jyːn˨taː˧˥jɐt̚˥kɔː˧jyːn˨ŋaːi̯˨˩
一個餅印	jɐt̚˥kɔː˧pɛːŋ˧˥jɐn˧
一個鼻哥窿出氣	jɐt̚˥kɔː˧pʰei̯̯˨kɔː˥lʊŋ˥tsʰɵt̚˥hei̯˧
一側化	jɐt̚˥tsɐk̚˥faː˧
一傳十，十傳百	jɐt̚˥tsʰyːn˨˩sɐp̚˨sɐp̚˨tsʰyːn˨˩paːk̚˧
一僕一碌	jɐt̚˥pʰʊk̚˥jɐt̚˥lʊk̚˥
一元化	jɐt̚˥jyːn˨˩faː˧
一元復始	jɐt̚˥jyːn˨˩fʊk̚˨tsʰiː˧˥
一元方程	jɐt̚˥jyːn˨˩fɔːŋ˥tsʰeŋ˨˩
一元論	jɐt̚˥jyːn˨˩lɵn˨
一元醇	jɐt̚˥jyːn˨˩sɵn˨˩
一兆	jɐt̚˥siːu̯˨
一兩句話	jɐt̚˥lœːŋ˩˧kɵy̯˧waː˨
一兩晚	jɐt̚˥lœːŋ˩˧maːn˩˧
一兩歲	jɐt̚˥lœːŋ˩˧sɵy̯˧
一兩首	jɐt̚˥lœːŋ˩˧sɐu̯˧˥
一公一乸	jɐt̚˥kʊŋ˥jɐt̚˥naː˧
一共	jɐt̚˥kʊŋ˨
一再	jɐt̚˥tsɔːi̯˧
一凹一凸	jɐt̚˥nɐp̚˥jɐt̚˥tɐt̚˨
一刀兩斷	jɐt̚˥tʰou̯̯˥lœːŋ˩˧tyːn˨
一刀切	jɐt̚˥tʰou̯̯˥tsʰiːt̚˧
一分一毫	jɐt̚˥fɐn˥jɐt̚˥hou̯˨˩
一分子	jɐt̚˥fɐn˨tsiː˧˥
一分爲二	jɐt̚˥fɐn˥wɐi̯˨˩jiː˨
一分耕耘一分收穫	jɐt̚˥fɐn˥kaːŋ˥wɐn˨˩jɐt̚˥fɐn˥sɐu̯˥wɔːk̚˨
一分錢一分貨	jɐt̚˥fɐn˥tsʰiːn˨˩jɐt̚˥fɐn˥fɔː˧
一切	jɐt̚˥tsʰɐi̯˧
一切如舊	jɐt̚˥tsʰɐi̯˧jyː˨˩kɐu̯˨
一切就緒	jɐt̚˥tsʰɐi̯˧tsɐu̯˨sɵy̯˩˧
一切從嚴	jɐt̚˥tsʰɐi̯˧tsʰʊŋ˨˩jiːm˨˩
一到天冷	jɐt̚˥tʰou̯̯˧tʰiːn˥laːŋ˩˧
一刻	jɐt̚˥haːk̚˥
一刻	jɐt̚˥hɐk̚˥
一剎那	jɐt̚˥saːt̚˧naː˩˧
一剔一點	jɐt̚˥tʰik̚˥jɐt̚˥tiːm˧˥
一剔過	jɐt̚˥tʰik̚˥kʷɔː˧
一劈屎	jɐt̚˥pʰɛːk̚˨siː˧˥
一劈泥	jɐt̚˥pʰɛːk̚˨nɐi̯˨˩
一動不如一靜	jɐt̚˥tʊŋ˨pɐt̚˥jyː˨˩jɐt̚˥tseŋ˨
一勞永逸	jɐt̚˥lou̯˨˩weŋ˩˧jɐt̚˨
一匹布	jɐt̚˥pʰɐt̚˥pʰou̯̯˧
一匹布咁長	jɐt̚˥pʰɐt̚˥pʰou̯̯˧kɐm˧tsʰœːŋ˨˩
一十	jɐt̚˥sɐp̚˨
一千	jɐt̚˥tsʰiːn˥
一千兆	jɐt̚˥tsʰiːn˥siːu̯˨
一千幾百猶如垃圾	jɐt̚˥tsʰiːn˥kʰei̯̯˧˥paːk̚˧jɐu̯˨˩jyː˨˩laːp̚˨saːp̚˧
一千零一	jɐt̚˥tsʰiːn˥leŋ˨˩jɐt̚˥
一半	jɐt̚˥puːn˧
一半天	jɐt̚˥puːn˧tʰiːn˥
一去不返	jɐt̚˥hɵy̯˧pɐt̚˥faːn˥
一反常態	jɐt̚˥faːn˧˥sœːŋ˨˩tʰaːi̯˧
一口	jɐt̚˥hɐu̯˧˥
一口價	jɐt̚˥hɐu̯˧˥kaː˧
一口咬定	jɐt̚˥hɐu̯˧˥ŋaːu̯˩˧teŋ˨
一口拒絕	jɐt̚˥hɐu̯˧˥kʰɵy̯˩˧tsyːt̚˨
一口氣	jɐt̚˥hɐu̯˧˥hei̯˧
一口菸	jɐt̚˥hɐu̯˧˥jiːn˥
一句唔該使死人	jɐt̚˥kɵy̯˧m̩˨˩kɔːi̯˥sɐi̯˧˥sei̯˧˥jɐn˨˩
一句講晒	jɐt̚˥kɵy̯˧kɔːŋ˧˥saːi̯˧
一句起兩句止	jɐt̚˥kɵy̯˧hei̯˧˥lœːŋ˩˧kɵy̯˧tsiː˧˥
一同	jɐt̚˥tʰʊŋ˨˩
一吐爲快	jɐt̚˥tʰou̯˧wɐi̯˨˩faːi̯˧
一向	jɐt̚˥hœːŋ˧
一味	jɐt̚˥mei̯˧˥
一味	jɐt̚˥mei̯˨
一味恨嫁	jɐt̚˥mei̯˧˥hɐn˨kaː˧
一味靠黐	jɐt̚˥mei̯˧˥kʰaːu̯˧tsʰiː˥
一呼百應	jɐt̚˥fuː˥paːk̚˧jeŋ˧
一命二運三風水	jɐt̚˥mɛːŋ˨jiː˨wɐn˨saːm˥fʊŋ˥sɵy̯˧˥
一命嗚呼	jɐt̚˥meŋ˨wuː˥fuː˥
一命歸天	jɐt̚˥meŋ˨kʷɐi̯˥tʰiːn˥
一命歸西	jɐt̚˥meŋ˨kʷɐi̯˥sɐi̯˥
一品紅	jɐt̚˥pɐn˧˥hʊŋ˨˩
一品鍋	jɐt̚˥pɐn˧˥wɔː˥
一哄而上	jɐt̚˥hʊŋ˧jiː˨˩sœːŋ˩˧
一哄而散	jɐt̚˥hʊŋ˧jiː˨˩saːn˧
一哄而起	jɐt̚˥hʊŋ˧jiː˨˩hei̯˧˥
一哄而起	jɐt̚˥hʊŋ˨jiː˨˩hei̯˧˥
一哥	jɐt̚˥kɔː˥
一唔一致	jɐt̚˥m̩˨˩jɐt̚˥tsiː˧
一唔一齊	jɐt̚˥m̩˨˩jɐt̚˥tsʰɐi̯˨˩
一唔係	jɐt̚˥m̩˨˩hɐi̯˨
一唱一和	jɐt̚˥tsʰœːŋ˧jɐt̚˥wɔː˨˩
一啖砂糖一啖屎	jɐt̚˥taːm˨saː˥tʰɔːŋ˨˩jɐt̚˥taːm˨siː˧˥
一啖飯	jɐt̚˥taːm˨faːn˨
一啲	jɐt̚˥tiː˥
一啲啲	jɐt̚˥tiː˥tiː˥
一啲線	jɐt̚˥tiː˥siːn˧
一喲呢個	jɐt̚˥jɔː˥nei̯˥kɔː˧
一嗰崩	jɐt̚˥kɔː˧˥pɐŋ˥
一嘢	jɐt̚˥jɛː˩˧
一嘢嘴落	jɐt̚˥jɛː˩˧tsɵy̯˧˥lɔːk̚˨
一噼泥	jɐt̚˥pʰɛːk̚˨nɐi̯˨˩
一嚿云	jɐt̚˥kɐu̯˨wɐn˨˩
一嚿佛	jɐt̚˥kɐu̯˨fɐt̚˥
一嚿嚿	jɐt̚˥kɐu̯˨kɐu̯˨
一嚿木	jɐt̚˥kɐu̯˨mʊk̚˨
一嚿石頭	jɐt̚˥kɐu̯˨sɛːk̚˨tʰɐu̯˨˩
一嚿雲	jɐt̚˥kɐu̯˨wɐn˨˩
一嚿飯	jɐt̚˥kɐu̯˨faːn˨
一嚿飯噉	jɐt̚˥kɐu̯˨faːn˨kɐm˧˥
一囗	jɐt̚˥hɐu̯˧˥
一國三公	jɐt̚˥kʷɔːk̚˧saːm˥kʊŋ˥
一國之主	jɐt̚˥kʷɔːk̚˧tsiː˥tsyː˧˥
一國兩制	jɐt̚˥kʷɔːk̚˧lœːŋ˩˧tsɐi̯˧
一團漆黑	jɐt̚˥tʰyːn˨˩tsʰɐt̚˥hɐk̚˥
一地眼鏡碎	jɐt̚˥tei̯˨ŋaːn˩˧kɛːŋ˧sɵy̯˧
一地都係	jɐt̚˥tei̯˨tʰou̯̯˥hɐi̯˨
一坐就爛	jɐt̚˥tsʰɔː˩˧tsɐu̯˨laːn˨
一坺	jɐt̚˥pʰɛːt̚˨
一坺屎	jɐt̚˥pʰɛːt̚˨siː˧˥
一坺牛屎	jɐt̚˥pʰɛːt̚˨ŋɐu̯˨˩siː˧˥
一場	jɐt̚˥tsʰœːŋ˨˩
一場兄弟	jɐt̚˥tsʰœːŋ˨˩heŋ˥tɐi̯˨
一場嚟到	jɐt̚˥tsʰœːŋ˨˩lɐi̯˨˩tʰou̯̯˧
一場空	jɐt̚˥tsʰœːŋ˨˩hʊŋ˥
一塊	jɐt̚˥faːi̯˧
一塌糊塗	jɐt̚˥tʰaːp̚˧wuː˨˩tʰou̯˨˩
一塵不染	jɐt̚˥tsʰɐn˨˩pɐt̚˥jiːm˩˧
一墩	jɐt̚˥tɵn˥
一壁廂	jɐt̚˥pʰik̚̚˥sœːŋ˥
一夔已足	jɐt̚˥kʷʰɐi̯˨˩jiː˩˧tsʊk̚˥
一夕之間	jɐt̚˥tsik̚˨tsiː˥kaːn˥
一夕數驚	jɐt̚˥tsik̚˨sou̯˧keŋ˥
一多對應	jɐt̚˥tɔː˥tɵy̯˧jeŋ˧
一夜之間	jɐt̚˥jɛː˨tsiː˥kaːn˥
一夜夫妻百二蚊	jɐt̚˥jɛː˨fuː˥tsʰɐi̯˥paːk̚˧jiː˨mɐn˥
一夜夫妻百夜恩	jɐt̚˥jɛː˨fuː˥tsʰɐi̯˥paːk̚˧jɛː˨jɐn˥
一夜情	jɐt̚˥jɛː˨tsʰeŋ˨˩
一夜致富	jɐt̚˥jɛː˨tsiː˧fuː˧
一夜露水	jɐt̚˥jɛː˨lou̯˨sɵy̯˧˥
一夜風流	jɐt̚˥jɛː˨fʊŋ˥lɐu̯˨˩
一大兩細	jɐt̚˥taːi̯˨lœːŋ˩˧sɐi̯˧
一大嚿	jɐt̚˥taːi̯˨kɐu̯˨
一大排	jɐt̚˥taːi̯˨pʰaːi̯˨˩
一大沓	jɐt̚˥taːi̯˨taːp̚˨
一大疊	jɐt̚˥taːi̯˨taːp̚˨
一大部分	jɐt̚˥taːi̯˨pʰou̯̯˨fɐn˨
一天一地	jɐt̚˥tʰiːn˥jɐt̚˥tei̯˨
一天光晒	jɐt̚˥tʰiːn˥kʷɔːŋ˥saːi̯˧
一天都光晒	jɐt̚˥tʰiːn˥tʰou̯̯˥kʷɔːŋ˥saːi̯˧
一夫當關	jɐt̚˥fuː˥tɔːŋ˥kʷaːn˥
一夫當關，萬夫莫敵	jɐt̚˥fuː˥tɔːŋ˥kʷaːn˥maːn˨fuː˥mɔːk̚˨tʰik̚̚˨
一夫當關，萬夫莫開	jɐt̚˥fuː˥tɔːŋ˥kʷaːn˥maːn˨fuː˥mɔːk̚˨hɔːi̯˥
一失足成千古恨	jɐt̚˥sɐt̚˥tsʊk̚˥seŋ˨˩tsʰiːn˥kuː˧˥hɐn˨
一如	jɐt̚˥jyː˨˩
一如以往	jɐt̚˥jyː˨˩jiː˩˧wɔːŋ˩˧
一如所料	jɐt̚˥jyː˨˩sɔː˧˥liːu̯˨
一如既往	jɐt̚˥jyː˨˩kʰei̯̯˧wɔːŋ˩˧
一妻制	jɐt̚˥tsʰɐi̯˥tsɐi̯˧
一姐	jɐt̚˥tsɛː˥
一子錯，滿盤皆落索	jɐt̚˥tsiː˧˥tsʰɔː˧muːn˩˧pʰuːn˨˩kaːi̯˥lɔːk̚˨sɔːk̚˧
一孔之見	jɐt̚˥hʊŋ˧˥tsiː˥kiːn˧
一字不差	jɐt̚˥tsiː˨pɐt̚˥tsʰaː˥
一字不提	jɐt̚˥tsiː˨pɐt̚˥tʰɐi̯˨˩
一字不落	jɐt̚˥tsiː˨pɐt̚˥lɔːk̚˨
一字不識	jɐt̚˥tsiː˨pɐt̚˥sik̚˥
一字之師	jɐt̚˥tsiː˨tsiː˥siː˥
一字千金	jɐt̚˥tsiː˨tsʰiːn˥kɐm˥
一字咁淺	jɐt̚˥tsiː˨kɐm˧tsʰiːn˧˥
一字咁錢	jɐt̚˥tsiː˨kɐm˧tsʰiːn˧˥
一字排開	jɐt̚˥tsiː˨pʰaːi̯˨˩hɔːi̯˥
一字膊	jɐt̚˥tsiː˨pɔːk̚˧
一字褒貶	jɐt̚˥tsiː˨pʰou̯̯˥piːn˧˥
一字角	jɐt̚˥tsiː˨kɔːk̚˧
一字馬	jɐt̚˥tsiː˨maː˩˧
一學就識	jɐt̚˥hɔːk̚˨tsɐu̯˨sik̚˥
一官半職	jɐt̚˥kuːn˥puːn˧tsik̚˥
一定	jɐt̚˥teŋ˨
一定中	jɐt̚˥teŋ˨tsʊŋ˥
一定有鬼	jɐt̚˥teŋ˨jɐu̯˩˧kʷɐi̯˧˥
一家之主	jɐt̚˥kaː˥tsiː˥tsyː˧˥
一家便宜兩家着	jɐt̚˥kaː˥pʰiːn˨˩jiː˨˩lœːŋ˩˧kaː˥tsœːk̚˨
一家便宜兩家着數	jɐt̚˥kaː˥pʰiːn˨˩jiː˨˩lœːŋ˩˧kaː˥tsœːk̚˨sou̯˧
一家唔知一家事	jɐt̚˥kaː˥m̩˨˩tsiː˥jɐt̚˥kaː˥siː˨
一家大細	jɐt̚˥kaː˥taːi̯˨sɐi̯˧
一家輸三家	jɐt̚˥kaː˥syː˥saːm˥kaː˥
一寸光陰一寸金	jɐt̚˥tsʰyːn˧kʷɔːŋ˥jɐm˥jɐt̚˥tsʰyːn˧kɐm˥
一對多	jɐt̚˥tɵy̯˧tɔː˥
