-al	al
abdův	abduv
abeced	abɛtsɛt
abeceda	abɛtsɛda
abeceda	abɛtsɛra
abecedami	abɛtsɛdamɪ
abecední	abɛtsɛdɲiː
abecední	obɛtsɛdniː
abecedo	abɛtsɛdo
abecedou	abɛtsɛdou
abecedu	abɛtsɛdu
abecedy	abɛtsɛdɪ
abecedách	abɛtsɛdaːx
abecedám	abɛtsɛdaːm
abecedě	abɛtsɛɟɛ
abel	abɛl
abelův	abɛluːf
aberace	abɛratsɛ
aberacemi	abɛratsɛmɪ
aberaci	abɛratsɪ
aberací	abɛratsiː
aberacích	abɛratsiːx
aberacím	abɛratsiːm
aberdeenský	abrdiːnskiː
abertam	abɛrtam
abertamech	abɛrtamɛx
abertamský	abɛrtamskiː
abertamy	abɛrtamɪ
abertamy	apɛrtami
abertamům	abɛrtamuːm
abilympiád	abɪlɪmpɪjaːt
abilympiáda	abɪlɪmpɪjaːda
abilympiádami	abɪlɪmpɪjaːdamɪ
abilympiádo	abɪlɪmpɪjaːdo
abilympiádou	abɪlɪmpɪjaːdou
abilympiádu	abɪlɪmpɪjaːdu
abilympiády	abɪlɪmpɪjaːdɪ
abilympiádách	abɪlɪmpɪjaːdaːx
abilympiádám	abɪlɪmpɪjaːdaːm
abilympiádě	abɪlɪmpɪjaːɟɛ
abiogeneze	ʔabɪɪogɛnɛzɛ
abiogenezemi	abɪjogɛnɛzɛmɪ
abiogenezi	abɪjogɛnɛzɪ
abiogenezí	abɪjogɛnɛziː
abiogenezích	abɪjogɛnɛziːx
abiogenezím	abɪjogɛnɛziːm
abionym	abɪjonɪm
abionyma	abɪjonɪma
abionymech	abɪjonɪmɛx
abionymem	abɪjonɪmɛm
abionymu	abɪjonɪmu
abionymum	abɪonɪmum
abionymy	abɪjonɪmɪ
abionymům	abɪjonɪmuːm
abiotický	abɪjotɪtskiː
abiturient	ʔabɪturɪjɛnt
abiturienta	abɪturɪjɛnta
abiturientce	abɪturɪjɛnttsɛ
abituriente	abɪturɪjɛntɛ
abiturientech	abɪturɪjɛntɛx
abiturientek	abɪturɪjɛntɛk
abiturientem	abɪturɪjɛntɛm
abiturienti	abɪturɪjɛncɪ
abiturientka	abɪturɪjɛntka
abiturientkami	abɪturɪjɛntkamɪ
abiturientko	abɪturɪjɛntko
abiturientkou	abɪturɪjɛntkou
abiturientku	abɪtuɪjɛntku
abiturientky	abɪturɪjɛntkɪ
abiturientkách	abɪturɪjɛntkaːx
abiturientkám	abɪturɪjɛntkaːm
abiturientovi	abɪturɪjɛntovɪ
abiturientu	abɪturɪjɛntu
abiturienty	abɪturɪjɛntɪ
abiturientů	abɪturɪjɛntuː
abiturientům	abɪturɪjɛntuːm
abiturientův	abɪturɪjɛntuːf
abiturienťák	abɪturɪjɛncaːk
abjurace	abjuratsɛ
abjuracemi	abjuratsɛmɪ
abjuraci	abjuratsɪ
abjurací	ˈabjurˌatsiː
abjuracích	ˈabjurˌatsiːx
abjuracím	ˈabjurˌatsiːm
ablace	ablatsɛ
ablacemi	ablatsɛmɪ
ablaci	ablatsɪ
ablací	ˈablatsiː
ablacích	ˈablatsiːx
ablacím	ˈablatsiːm
ablaktace	ablaktatsɛ
ablaktacemi	ablaktatsɛmɪ
ablaktaci	ablaktatsɪ
ablaktací	ˈablaktˌatsiː
ablaktacích	ˈablaktˌatsiːx
ablaktacím	ˈablaktˌatsiːm
ablativ	ablatiːf
ablativ	ablatɪf
ablative	ablatɪvɛ
ablativech	ablatɪvɛx
ablativem	ablatɪvɛm
ablativní	ablatɪvɲiː
ablativu	ablatɪvu
ablativy	ablatɪvɪ
ablativů	ablatɪvuː
ablativům	ablatɪvuːm
ablaut	ʔablaut
ablaute	ablautɛ
ablautech	ablautɛx
ablautem	ablautɛm
ablautovat	ablautovat
ablautu	ablautu
ablauty	ablautɪ
ablautů	ablautuː
ablautům	ablautuːm
ablegát	ablɛgaːt
ablegáta	ablɛgaːta
ablegáte	ablɛgaːtɛ
ablegátech	ablɛgaːtɛx
ablegátem	ablɛgaːtɛm
ablegáti	ablɛgaːcɪ
ablegátovi	ablɛgaːtovɪ
ablegátové	ablɛgaːtovɛː
ablegátu	ablɛgaːtu
ablegáty	ablɛgaːtɪ
ablegátů	ablɛgaːtuː
ablegátům	ablɛgaːtuːm
ablegátův	ablɛgaːtuːf
ablézovat	ʔablɛːzovat
abnormalit	abnormalɪt
abnormalita	abnormalɪta
abnormalitami	abnormalɪtamɪ
abnormalito	abnormalɪto
abnormalitou	abnormalɪtou
abnormalitu	abnormalɪtu
abnormality	abnormalɪtɪ
abnormalitách	abnormalɪtaːx
abnormalitám	abnormalɪtaːm
abnormalitě	abnormalɪcɛ
abnormit	abnormɪt
abnormita	ʔabnormɪta
abnormitami	abnormɪtamɪ
abnormito	abnormɪto
abnormitou	abnormɪtou
abnormitu	abnormɪtu
abnormity	abnormɪtɪ
abnormitách	abnormɪtaːx
abnormitám	abnormɪtaːm
abnormitě	abnormɪcɛ
abnormálnost	ˈabnormˌaːlnost
abnormálnostech	abnormaːlnostɛx
abnormálnostem	abnormaːlnostɛm
abnormálnosti	abnormaːlnoscɪ
abnormálnostmi	abnormaːlnostmɪ
abnormálností	ˈabnormˌaːlnosciː
abnormální	ˈabnormˌaːlɲiː
abolice	abolɪtsɛ
abolicemi	abolɪtsɛmɪ
abolici	abolɪtsɪ
abolicionisme	abolɪtsɪjonɪzmɛ
abolicionismech	abolɪtsɪjonɪzmɛx
abolicionismem	abolɪtsɪjonɪzmɛm
abolicionismu	abolɪtsɪjonɪzmu
abolicionismus	abolɪtsɪjonɪzmus
abolicionismy	abolɪtsɪjonɪzmɪ
abolicionismů	abolɪtsɪjonɪzmuː
abolicionismům	abolɪtsɪjonɪzmuːm
abolicionizme	abolɪtsɪjonɪzmɛ
abolicionizmech	abolɪtsɪjonɪzmɛx
abolicionizmem	abolɪtsɪjonɪzmɛm
abolicionizmu	abolɪtsɪjonɪzmu
abolicionizmus	abolɪtsɪjonɪzmus
abolicionizmy	abolɪtsɪjonɪzmɪ
abolicionizmů	abolɪtsɪjonɪzmuː
abolicionizmům	abolɪtsɪjonɪzmuːm
abolicí	abolɪtsiː
abolicích	abolɪtsiːx
abolicím	abolɪtsiːm
abonent	abonɛnt
abonenta	abonɛnta
abonentce	abonɛnttsɛ
abonente	abonɛntɛ
abonentech	abonɛntɛx
abonentek	abonɛntɛk
abonentem	abonɛntɛm
abonenti	abonɛncɪ
abonentka	abonɛntka
abonentka	abɔnɛntka
abonentkami	abonɛntkamɪ
abonentko	abonɛntko
abonentkou	abonɛntkou
abonentku	abonɛntku
abonentky	abonɛntkɪ
abonentkách	abonɛntkaːx
abonentkám	abonɛntkaːm
abonentovi	abonɛntovɪ
abonentský	abonɛntskiː
abonentu	abonɛntu
abonenty	abonɛntɪ
abonentů	abonɛntuː
abonentům	abonɛntuːm
abonentův	abonɛntuːf
abonmá	abonmaõ̞
abonovat	ˈabonˌovat
abort	ˈabort
aborte	abortɛ
abortech	abortɛx
abortem	abortɛm
abortivní	abortɪvɲiː
abortu	ˈabortu
abortus	ˈabortus
aborty	abortɪ
abortů	ˈabortuː
abortům	ˈabortuːm
abradovat	ˈabradˌovat
abrahamita	abraɦamɪta
abrahamitech	abraɦamɪtɛx
abrahamiti	abraɦamɪcɪ
abrahamito	abraɦamɪto
abrahamitou	abraɦamɪtou
abrahamitovi	abraɦamɪtovɪ
abrahamitský	abraɦamɪtskiː
abrahamitu	abraɦamɪtu
abrahamity	abraɦamɪtɪ
abrahamité	abraɦamɪtɛː
abrahamitů	abraɦamɪtuː
abrahamitům	abraɦamɪtuːm
abrahám	abraɦaːm
abrahámoviny	abraɦaːmovɪnɪ
abrahámová	abraɦaːmovaː
abrase	abrazɛ
abraze	abrazɛ
abrazivní	abrazɪvɲiː
abreviace	abrɛvijatsɛ
abreviace	abrɛvɪjatsɛ
abreviatura	abrɛvjatʊra
absces	apstsɛs
absence	apsɛntsɛ
absenci	ʔapsɛntsɪ
absentismus	apsɛntɪzmus
absentizmus	apsɛntɪzmus
absint	abzɛnt
absint	apsɪnt
absintismus	apsɪntɪzmus
absintizmus	apsɪntɪzmus
absolutismus	apsolutɪzmus
absolutistický	apsolutɪstɪtskʲiː
absolutizmus	apsolutɪzmus
absolutní	abzolutɲiː
absolutní	abzɔlutniː
absolutní	ˈapsolˌutɲiː
absolutním	abzalutnʲiːm
absolvent	apsolvɛnt
absolventi	absolvɛncɪ
absolventského	ʔapsolvɛntskɛːɦo
absolventský	apsolvɛntskiː
absolventy	apsolvɛntɪ
absolventů	absolvɛntuː
absolventův	apsolvɛntuːf
absolvenťák	apsolvɛncaːk
absolvovala	absolvovala
absolvovali	apsolvovalɪ
absolvovat	ʔapsolvovat
absolvovati	apsolvovacɪ
absolvování	apsolofovaːniː
absolón	ˈapsoloːn
absorbovat	ˈapsorbˌovat
absorpce	apzorptsɑ
abstinence	abstɪnɛntsæ
abstinent	abztɪɫɛnt
abstinent	apstɪnɛnt
abstinentismus	apstɪnɛntɪzmus
abstinentizmus	apstɪnɛntɪzmus
abstinentka	apstɪnɛntka
abstinentský	apstɪnɛntskiː
abstinentův	apscɪnɛntuːf
abstrahovat	abstrɛɦovat
abstrakcionismus	apstraktsɪonɪsmus
abstrakcionizmus	apstraktsɪonɪsmus
abstrakt	ˈapstrakt
abstraktivismus	apstraktɪvɪzmus
abstraktivizmus	apstraktɪvɪzmus
abstraktní	abstrugtɲiː
abstraktní	ˈapstraktɲiː
abstrusní	ˈapstrusɲiː
absurdnost	apsurdnˈost
absurdní	abzurdɲiː
absurdní	ˈapsurdɲiː
absťák	ˈapscaːk
aby	abɪ
aby	aˈbˈe
abych	abɪx
abychom	ʔabɪxom
abys	abes
abyste	ʔabɪstɛ
abysální	abɪsaːlɲiː
abázie	abaːzɪjɛ
abáziemi	abaːzɪjɛmɪ
abázii	abaːzɪjɪ
abázií	abaːzɪjiː
abáziích	abaːzɪjiːx
abáziím	abaːzɪjiːm
abélie	abɛːlɪjɛ
abéliemi	abɛːlɪɛmɪ
abélii	abɛːlɪjɪ
abélií	abɛːlɪjiː
abéliích	abɛːlɪjiːx
abéliím	abɛːlɪjiːm
academia	akademia
acelulární	atsɛlulaːrɲiː
acetaldehyd	atsɛtaldɛɦɪt
aceton	atsɛdon
acetonová	atsɛtɔnovaː
acetonový	atsɛtonovˈiː
acetyl	atsatel
acetyl	atsjɛtɪl
acetylén	atsɛtɪlɛn
ach	ˈax
achich	axɪx
achilles	axjeles
achilles	axɪlɛs
achilleus	axɪleus
acholie	axolɪjɛ
achromatismus	axromatɪzmus
achromatizmus	axromatɪzmus
acht	ˈaxt
achtovanec	axtovanɛts
achát	ˈaxaːt
achátový	ˈaxaːtˌoviː
acidita	atsɪdɪta
acidity	atsɪdɪtɪ
acidobazický	atsɪdobazɪtskiː
acidofyt	atsɪdofɪt
acidostabilní	atsɪdostabɪlɲiː
aconcagua	ʔakonkagua
aconcagua	ʔakonkagva
acyl	ɑtsɪl
acylpyrin	atsɪlpɪrɪn
acyly	atːsɪlɪ
aczkolwiek	atʃkolvjjɛk
adalbert	adalbɛrt
adalbertův	adalbɛrtuːf
adam	adˈan
adam	ʔadam
adama	adama
adame	adamɛ
adamec	adamets
adamita	adamɪta
adamitismus	adamɪtɪzmus
adamitizmus	adamɪtɪzmus
adamitský	adamɪtskiː
adamník	ˈadamɲiːk
adamov	adamof
adamova	ˈadamˌova
adamove	adamovɛ
adamovem	adamovɛm
adamovka	ˈadamˌofka
adamovský	ˈadamˌofskiː
adamovu	ˈadamˌovu
adamová	ˈadamˌovaː
adamové	adamovɛː
adamově	ʔadamovjɛ
adamův	adamuːf
adaptabilita	adaptabɪlɪta
adaptabilní	adaptabɪlɲiː
adaptace	ʔadaptatsɛ
adaptace zraku	adaptatsɛzsraku
adaptační	ˈadaptˌatʃɲiː
adapťák	ˈadapcaːk
adast	ˈadast
addisabebský	adɪsabɛpskiː
addisonismus	ɛdɪsonɪzmus
addisonizmus	ɛdɪsonɪzmus
adekvátní	adɛkvaːtɲiː
adekvátního	adɛkvaːtɲiːɦo
adekvátními	adɛkvaːtɲiːmɪ
adekvátnímu	adɛkvaːtɲiːmu
adelaide	adɛlɛiːt
adelaide	ɛdɛlɛjt
adelaide	ɛdɛlɪt
adenohypofýza	adɛnoɦɪpofiːza
adenský	adɛnskiː
adeptů	adɛptuː
adermin	adɛrmiːn
adheze	adɦɛzɛ
adhezní	adɦɛzɲiː
adiabatický	adɪjabatɪtskiː
adice	adɪtsɛ
adina	advina
adiže	adɛʒɛ
adjektiva	adjɛktiva
adjektivní	adjɛktɪvɲiː
adjektivum	adjɛktiːvum
adjektivum	adjɛktɪvum
adjunktský	adjunktskiː
adjustace	adiustatsɛ
adjutantský	ˈadjutˌantskiː
adjutor	ˈadjutor
adjutum	adjuːtum
adjuvans	ˈadjuvans
adjuvant	ˈadjuvant
adler	aːdlɛr
adlát	adlat
administrace kraje	admɪnɪstratsɪkrajɛ
administrativa	admɪnɪstratɪva
administrativní	admɪnɪstratɪvɲiː
administrativního	admɪnɪstrətɪvɲiːɦo
administrativní překážky	admɪnɪstrodɪvɲiːpr̝ɛkaːʃkɪ
administrátor	admɪnɪstraːtor
administrátor	admɪnɪstɾaːtor
admirál	admɪraːl
admirálskou	admɪraːlskou
admirálská	admɪraːlskaː
admirálské	admɪraːlskɛː
admirálského	admɪraːlskɛːɦo
admirálském	admɪraːlskɛːm
admirálskému	admɪraːlskɛːmu
admirálský	admɪraːlskiː
admirálských	admɪraːlskiːx
admirálským	admɪraːlskiːm
admirálskými	admɪraːlskiːmɪ
admirálští	admɪraːlʃciː
admirálův	admɪraːluːf
adogmatismus	adogmatɪzmus
adogmatizmus	adogmatɪzmus
adolescence	adolɛstsɛntsɛ
adolescent	ʔadolɛstsɛnt
adolf	adɔlf
adolf	ˈadolf
adolfův	adolfuːf
adonský	ˈadonskiː
adopcí	ʔadoptsiː
adoptianismus	ʔadoptsɪanɪzmus
adoptianizmus	adoptɪanɪzmus
adoptovala	aduptovala
adoptovat	ˈadoptˌovat
adoptovati	adoptovacɪ
adorovat	adorova
adorovat	ˈadorˌovat
adrenalin	adrɛnaliːn
adrenalinoví	adrɛnalɪnoviː
adrenalinový	adrɛnalɪnoviː
adres	adrɛs
adresa	adrɛsa
adresami	adrɛsamɪ
adrese	adrɛsɛ
adresnost	adrɛsnost
adresní	adrɛsɲiː
adreso	adrɛso
adresou	adrɛsou
adresou	adrɛsɔu
adresovaný	adrɛsofanˈiː
adresovat	adrɛsovat
adresovat	adrˈɛsˈovat
adresovatelnost	adrɛsovatɛlnost
adresovatelný	adrɛsovatɛlɲiː
adresovatelný	ʔadrɛsovatɛlniː
adresová	adrɛsɔvaː
adresování	adrɛsomaːniː
adresu	adrɛsu
adresuji	adrɛsujɛ
adresujte	adrɛsujidɛ
adresy	adrɛsɪ
adresách	adrɛsaːx
adresám	adrɛsaːm
adresát	adresaːt
adresát	adrɛsɑːt
adresát	ʔadrɛsaːt
adresátce	adrɛsaːttsɛ
adresátek	adrɛsaːtɛk
adresátem	ʔadrɛsaːtɛm
adresátka	adrɛsaːtka
adresátkami	adrɛsaːtkamɪ
adresátko	adrɛsaːtko
adresátkou	adrɛsaːtkou
adresátku	adrɛsaːtku
adresátky	adrɛsaːtkɪ
adresátkách	adrɛsaːtkaːx
adresátkám	adrɛsaːtkaːm
adresátův	adrɛsaːtuːf
adrian	adrɪan
adriana	adrɛjana
adrián	adrɪaːn
adriánův	adrɪjaːnuːf
adršpašský	adrʃpaʃskiː
adsorbující látka	atsorbujiːtsiːlaːtka
adsorpce	atzɔrptse
adukt	ˈadukt
adultismus	adultɪzmus
adut	adu
advekce	advɛktsɛ
advent	advɛnt
adventismus	advɛntɪzmus
adventizmus	advɛntɪzmus
adventní	advɛntɲiː
adventu	advɛntu
adverbiale	advɛrbialɛ
adverbium	ʔadvɛrbɪjum
adverbiální	advɛrbɪjaːlɲiː
advokacie	adfokatsiɛ
advokát	ˈadvokaːt
advokátka	ˈadvokˌaːtka
advokátní	ˈadvokˌaːtɲiː
advokátní poradna	advokaːtɲiːporadna
advokátu	ˈadvokˌaːtu
advokátův	advokaːtuːf
adygejština	adɪgɛjʃcɪna
adéla	adəla
adéle	adɛlɛ
aeon	aɪoːn
aero	aero
aerobický	aɛrobɪtskiː
aerobik	aɛrobɪk
aerobní	aɛrobɲiː
aerodynamika	aɛrodɪnamɪka
aeroembolismus	aɛroɛmbolɪzmus
aeroembolizmus	aɛroɛmbolɪzmus
aerofobní	aɛrofobɲiː
aerolinie	aɛrolɪnɪjɛ
aerolinka	aɛrolɪnka
aerolinky	ʔaɛrolɪnkɪ
aeroplán	aɛroplaːn
aeroplán	pɛroplaːn
aerosol	aɛrosol
aerostatika	aɛrostatɪka
aerotropismus	aɛrotropɪzmus
aerotropizmus	aɛrotropɪzmus
afekt	afɛk
afektivní	afɛktɪvɲiː
afektní	afɛktɲiː
afel	afel
afely	afɛɾlɪp
aferentní	afɛrɛntɲiː
afghánce	afgaːntsɛ
afghánec	afgaːnɛts
afghánistán	afgaːnɪstaːn
afghánka	afgaːnka
afghánský	afgaːnskiː
afghánský	afgɦaːnskiː
afilovaná osoba	afjlovonaːosoba
afinerie	afɪnɛrɪjɛ
afinita	afɪnɪta
afiš	afiʃ
afiše	afiʃe
aforismus	aforɛsmus
aforismus	aforɪzmus
aforizmus	aforɪzmus
africe	afrɪtsɛ
africky	afrɪtskɪ
africký	afrɛtskˈiː
africký	afrɪtskiː
afrických	afrɪtskiːx
afrika	afrika
afrika	ʔafrɪka
afrikanista	afrɪkanɪsta
afrikanistika	afrɪkanɪstɪka
afrikán	afrɪkaːn
afrikánec	afrɪkaːnɛts
afrikánsky	afrɪkaːnskɪ
afrikánština	afrɪkaːnʃcɪna
afrikáta	afrɪkaːta
afričan	afrɪtʃan
afričan	afrɪtʃaŋ
afričanka	afrɪtʃanka
afričanka	afɾɛjtʃanka
afričanův	afrɪtʃanuːf
afro	afrɔ
afroamerický	afroamɛrɪtskiː
afroameričan	afroamɛrɪtʃan
afroameričanka	afroamɛrɪtʃanka
afrodita	afrodɪta
afrodité	afroɟɪtɛː
afrodiziakální	ʔafrodɪzɪjakaːlɲiː
aft	ˈaft
afta	aftɑ
afta	ˈafta
aféra	afɛra
aféra	afɛːra
aféry	afɛːrɪ
aga	agˈa
agama	agama
agamemnón	agamɛmnoːn
agamy	agami
agapy	agapɛ
agend	agɛnt
agenda	agɛnda
agenda	agˈɛnda
agent	agɛnt
agent	aɣ̞ɛnt
agentka	agɛndka
agentur	agɛntur
agentura	agɛntura
agentura	aɣ̞ɛntura
agenturami	agɛnturamɪ
agenturní	agɛnturɲiː
agenturo	agɛnturo
agenturou	agɛnturou
agenturu	agɛnturu
agentury	agɛnturɪ
agenturách	agɛnturaːx
agenturám	agɛnturaːm
agentuře	agɛntur̝ɛ
agentův	agɛntuːf
ageotropismus	agɛotropɪzmus
ageotropizmus	agɛotropɪzmus
agiliťák	agɪlɪcaːk
agilnost	agɨlnost
agilní	agɪlɲiː
agitace	agidatsɛ
agitace	ʔagɪtatsɛ
agitačního	agɪtatʃɲiːɦa
aglomerace	aglɔmɛratsɛ
aglomerace	ʔaglomɛratsɛ
agni	ogne
agnosticismus	agnoscɪtsɪsmus
agnosticizmus	agnoscɪtsɪzmus
agnostický	agnostɪtskiː
agnostik	agnoscɪk
agnostička	agnostɪtʃka
agnát	agnaːt
agogika	agogɪka
agonie	agonɪjɛ
agora	agora
agory	agori
agramatismus	agramatɪzmus
agramatizmus	agramatɪzmus
agregace	ʔagrɛgatsɛ
agregátní	agrɛgaːtɲiː
agrese	agrɛsɛ
agresivní	agrɛsɪvɲiː
agresivního	agrɛsɪvɲˈiːɦa
agresivním	agrɛsɪvɲiːm
agresivnější	agrɛsɪvɲɛjʃiː
agresor	agrɛsor
agresívní	agrɛsiːvɲiː
agroklimatologický	agroklɪmatologɪtskiː
agroklimatologie	agroklɪmatologɪjɛ
agronomický	agronomitskiː
agronomie	agronomija
agrotextilie	agrotɛkstiːlɪjɛ
agrárnice	agraːrɲɪtsɛ
agrární	agraːrɲiː
agrárník	agraːrɲiːk
agáta	agaːta
agáve	agaːvɛ
agávoví	agaːvoviː
agávový	agaːvoviː
agón	agˈon
agóna	ˈagoɾna
agónie	agoɾnja
ah	ˈax
aha	aɦa
ahaggar	aɦagar
ahistorismus	aɦɪstorɪzmus
ahistorizmus	aɦɪstorɪzmus
ahoj	ahoj˨˦
ahoj	aɦoj
ahoj	ˈaɪoʊj
ahoj	˦˥ɑ˨˩˦ɦo˥˩j˧˥
ahojky	aɦojkɪ
ahá	aɦaː
aids	ajts
aigis	ajgɪs
aigína	aɪgiːna
airbag	ɛrbɛk
airsofťák	ɛːrsofcaːk
airy	ajrʲ
aj	ɛɪdʒɛɪ
ajbiškový	ajbɪʃkoviː
ajfr	ʔajfr
aji	ajɪ
ajmak	ajmat
ajmarština	ʔajmarʃcɪna
ajnclík	ajnæslɪk
ajnclík	ˈajntsliːk
ajnclíček	ʔaɪntsliːtʃɛk
ajncvaj	ˈajntsvaj
ajnfachový	ʔajnfaxoviː
ajran	ˈajran
ajznboňák	ˈajznboɲaːk
ajznboňákův	ajznboɲaːkuːf
ajťák	ˈajcaːk
ajťákův	ajcaːkuːf
akademická	akadɛmitskaː
akademické	akadɛmɪtskɛː
akademický	akadɛmitskiː
akademický	akadɛmɪtskiː
akademie	akademiʲe
akademie	akadɛmɪjɛ
akademikův	akadɛmɪkuːf
akademismus	akadɛmɪzmus
akademizmus	akadɛmɪzmus
akademička	akadɛmɪtʃka
akan	akˈan
akanština	akanʃcɪna
akara	ˈakara
akarka	ˈakarka
akašu	akasu
akce	aktsɛ
akcelerometr	aktʃɛlɛromɛtr
akcelerovat	ʔaktsɛlɛrovat
akcentovat	aktsɛntovat
akcentovat	aktsɛntɔvat
akceptovat	aktsɛptovat
akceptovat směnku	aktsɪptovatsmjɛnku
akce protestu	aktsɛprɔtɛstu
akci	aktsɪ
akcidence	ʔaktsɪdɛntsɛ
akcie	aktsɪjæ
akcie	aktsɪjɛ
akciovka	aktsɪjofka
akcioví	aktsɪjoviː
akciový	aktsɪjoviː
akcizák	aktsɪzaːk
akcií	aktsiː
akcička	aktsɪtʃka
akcí	ˈaktsiː
akcím	aktsiːm
akcízního	aktsiːzɲˈiːɦo
akcízový	aktsiːzovjiː
akcízák	ˈaktsiːzaːk
akkadština	akatʃcɪna
akmé	akmeː
akméismus	akmɛːɪzmus
akméizmus	akmɛːɪzmus
akné	aknɛ
akné	ʔaknɛː
akomodace	akomodatsɛ
akomodace	akˈamodatsɛ
akontace	akontatsɛ
akontace	akɔntatsɛ
akord	akɔrd
akord	ˈakort
akorát	akaraːt
akorát	ˈakoraːt
akr	akr
akr	ɑkɯ̞r
akreditace	akrɛdɪtɑtsɛ
akreditiv	akredijtɪf
akreditivní	akredɪtɪvɲˈiː
akreditovaní	akrɛdɪtˈovaniː
akribie	akriːbɪjɛ
akrobacie	akrobatsɪjɛ
akrobata	ˈakrobˌata
