ༀ	om 
ༀ་ཙ་ཏུརྨ་ཧཱ་རཱ་ཛ་ས་པཱ་རི་ཝཱ་ར་ཨརྒྷཾ་པཱ་ཌྱཾ་པུཥྤེ་དྷཱུ་པེ་ཨཱ་ལོ་ཀེ་གནྡྷེ་ནཻ་ཝིཌྱ་ཤཔྡ་པྲ་ཏཱི་ཙྪ་སྭཱ་ཧཱ	om tsatur maharadza saparivara argham padyam pushpé dhupé aloké ghendhé naividya shapta pratista soha
ༀ་ཙཎྜ་མ་ཧཱ་རོ་ཥ་ཎ་ཧཱུྃ་ཕཊ	om tsenda maha roshana hung pé
ༀ་འཇིག་རྟེན་མགོན་པོ་ལ་ཕྱག་འཚལ་ལོ	om jikten gönpo la chaktsal lo
ༀ་ཡིག་ཆོས་སྐུ་སྣང་མཐའ་ཚེ་དཔག་མེད	om yik chöku nang ta tsepakmé
ༀ་ཡིག་བཀྲ་ཤིས་བྱེ་བའི་འབྱུང་གནས་ཆེ	om yik tashi jewé jungné ché
ༀ་ཡིག་མཁའ་ཁྱབ་ནམ་མཁའ་རྡོ་རྗེའི་སྐུ	om yik khakhyab namkha dorjé ku
ༀ་ཡིག་འཆི་མེད་མགོན་པོ་འོད་མཐའ་ཡས	om yik chimé gönpo ö tayé
ༀ་སྭ་བྷཱ་ཝ་ཤུདྡྷ་སརྦ་དྷརྨཱཿསྭ་བྷཱ་ཝ་ཤུདྡྷོ྅་ཧཾ༔	om sobhava shuddha sarva dharma sobhava shuddhoh hang
ༀ་ཧཱུྃ་ཏྲཱྂ་ཧྲཱིཿཨཱཿཡིས་བྱིན་རླབས་ཏེ	om hung tram hrih ah yi jinlab té
ༀ་ཨ་མྲྀ་ཏེ་ཧཱུྃ་ཕཊ	om amrité hung pé
ༀ་ཨཱཿཧཱུྃ	om ah hum
ༀ་ཨཱཿཧཱུྃ	om ah hung
ༀ་ཨཱཿཧཱུྃ་	om ah hum
ༀ་ཨཱཿཧཱུྃ་གིས་སྦྱངས་སྤེལ་བསྒྱུར	ah hung gi jang pel gyur
ༀ་ཨཱཿཧཱུྃ་བཛྲ་གུ་རུ་པདྨ་སིདྡྷི་ཧཱུྃ༔	om ah hum benza guru pema siddhi hum
ༀ་ཨཱཿཧཱུྃ་བཛྲ་གུ་རུ་པདྨ་སིདྡྷི་ཧཱུྃ༔	om ah hung bendza guru pema siddhi hung
ༀ་ཨཱཿཧཱུྃ༔བདག་དང་མཐའ་ཡས་སེམས་ཅན་གྱི༔	om ah hung dak dang tayé semchen gyi
ༀ་ཨཱཿཧཱུྃ༔ཧ་ཧོཿཧྲཱིཿ	om ah hum ha hoh hrih
ༀ་ཨཱཿཧཱུྃ་སརྦ་པཉྩ་ཨ་མྲྀ་ཏ་ཧཱུྃ་ཧྲཱིཿཋཿ	om ah hung sarva pentsa amrita hung hrih ta
༁ྃ༔རྡོ་རྗེ་ནད་རིམས་ཞི་མཛད་ལྗང་༔	dorjé né rim zhidzé jang
༈གང་གིས་རྟེན་ཅིང་འབྲེལ་བར་འབྱུང	gang gi ten ching drelwar jung
༈གང་ཐུགས་གཉིས་སུ་མེད་པའི་ཡེ་ཤེས་ཀྱིས	gang tuk nyi su mepé yeshe kyi
༈གདོད་མའི་གཤིས་དང་དབྱེར་མེད་པདྨ་འབྱུང	dömé shi dang yermé pema jung
༈ངོ་བོ་འགྱུར་མེད་རང་བྱུང་རྡོ་རྗེའི་སྐུ	ngowo gyurmé rangjung dorjé ku
༈ཆོས་ཚུལ་འདི་ཡང་ཉི་ཟླའི་དཀྱིལ་འཁོར་བཞིན	chö tsul di yang nyidé kyilkhor zhin
༈ཏདྱ་ཐཱ	teyata
༈ཐུགས་ཏིག་བཀའ་བབ་གདམས་ཟབ་བཅུད་འཛིན་པའི	tuktik kabab dam zab chü dzinpé
༈ཐུགས་རྗེས་བདག་ལ་བརྩེ་བས་དགོངས	tukjé dak la tsewé gong
༈དལ་འབྱོར་འདི་ནི་ཤིན་ཏུ་རྙེད་པར་དཀའ	daljor di ni shintu nyepar ka
༈ན་མོ་བླ་མ་ལ་ཕྱག་འཚལ་ལོ	namo lama la chaktsal lo
༈ནམ་ཞིག་ཚེ་ཡི་དུས་བྱས་ཚེ༔	namzhik tsé yi dü jé tsé
༈བདག་ལ་རེ་ས་གཞན་ན་མེད༔	dak la resa zhen na mé
༈བདེ་ཆེན་པདྨ་འོད་ཀྱི་ཕོ་བྲང་དུ	dechen pema ö kyi podrang du
༈བྱང་ཆུབ་སེམས་མཆོག་རིན་པོ་ཆེ	changchup sem chok rinpoche
༈བླ་མའི་ཐུགས་ཀ་ནས་འོད་ཟེར་དམར་པོ་དྲོད་དང་བཅས་པ་ཞིག་ཝལ་གྱིས་བྱུང་བ་བདག་ཉིད་རྡོ་རྗེ་རྣལ་འབྱོར་མར་གསལ་བའི་སྙིང་གར་རེག་པ་ཙམ་གྱིས་འོད་དམར་གྱི་གོང་བུ་ཞིག་ཏུ་གྱུར་ནས་གུ་རུ་རིན་པོ་ཆེའི་ཐུགས་ཀར་ཐིམ་པས་དབྱེར་མེད་རོ་གཅིག་ཏུ་གྱུར	lamé tukka né özer marpo drö dang chepa zhik walgyi jungwa daknyi dorjé naljormar salwé nyinggar rekpa tsam gyi ö mar gyi gongbu zhik tu gyur né guru rinpoche tukkar timpé yermé ro chik tu gyur
༈འཆི་མེད་སྐུ་བརྙེས་བསྟན་གཉིས་གཡུང་དྲུང་གླིང	chimé ku nyé tennyi yungdrung ling
༈རྒྱ་གར་སྐད་དུ	gyagar ké du
༈རྗེ་བཙུན་གུ་རུ་རིན་པོ་ཆེ༔	jetsün guru rinpoche
༈སྟོང་ཉིད་ལྟ་བ་རིན་པོ་ཆེ	tongnyi tawa rinpoche
༧ཞབས་ཟུང་ཆོས་བདུན་ངོ་བོར་རྟག་བརྟན་གསོལ	zhabzung chödün ngowor takten sol
༧ཞབས་ཟུང་རྟག་བརྟན་གུ་རུས་བྱིན་གྱིས་རློབས	zhabzung takten gurü jingyi lob
༧ཞབས་ཟུང་རྟག་བརྟན་ཕྲིན་ལས་མཐར་ཕྱིན་ཤོག	zhabzung takten trinlé tarchin shok
༧རྒྱལ་བ་ཀུན་གྱི་ཐུགས་རྗེ་གཅིག་འདུས་པ	gyalwa kun gyi tukjé chik düpa
༧རྒྱལ་བའི་དབང་པོ་བསྟ༵ན་འཛི༵ན་རྒྱ༵་མཚོ༵འི་སྡེ	gyalwé wangpo tendzin gyatsö dé
༧རྒྱལ་བའི་བཀའ་བསྟན་ཀུན་འབྱུང་འདྲེན་པ་དང	gyalwé ka ten kunjung drenpa dang
ཀ	ka
ཀ	ka˥˥
ཀ་ཀ་ནི	kakani
ཀ་ཀ་རང	kakaraŋ
ཀ་ཀོ་ལ	kakola
ཀ་ཁུ་བྷ་ཡ	kakʰuphaja
ཀ་གཉིས་པ	kagȵispa
ཀ་ཎི་ཀ་ཡི་ཡུལ་ཁམས་ཆོས་ལ་བཀོད༔	ka ni ka yi yul kham chö la kö
ཀ་ཏ་མན་ཏུ	ka˥˥ta˥˥mɛ̃˩˨tu˥˥
ཀ་དག་ཀུན་ཏུ་བཟང་པོར་བྱང་ཆུབ་ཤོག	kadak kuntu zangpor chang chub shok
ཀ་དག་ཀུན་ཏུ་བཟང་པོར་བྱང་ཆུབ་ཤོག༔	kadak kuntuzangpor changchub shok
ཀ་དག་ཀུན་ཏུ་བཟང་པོར་སངས་རྒྱས་ཤོག༔	kadak kuntu zangpor sangyé shok
ཀ་དག་ཁྲེགས་ཆོད་ཀྱི་ལྟ་བ	kadak trekchö kyi tawa
ཀ་དག་ཁྲེགས་ཆོད་རྟོགས་པར་བྱིན་གྱིས་རློབས	kadak trekchö tokpar jingyi lob
ཀ་དག་གཏིང་གསལ་གཞོན་ནུ་བུམ་སྐུ་རུ་བཞུགས་པ	kadak tingsal zhönnu bum ku ru zhukpa
ཀ་དག་གཏིང་གསལ་གྱི་མཆོད་པ་འབུལ	kadak tingsal gyi chöpa bul
ཀ་དག་གཏིང་གསལ་དེ་བཞིན་ཉིད་ཀྱི་ངང	kadak tingsal dezhin nyi kyi ngang
ཀ་དག་གདོད་མའི་མགོན་པོ་ཀུན་ཏུ་བཟང	kadak dömé gönpo kuntuzang
ཀ་དག་གདོད་མའི་མགོན་པོ་ཀློང་ཆེན་པ	kadak dömé gönpo longchenpa
ཀ་དག་གདོད་མའི་ཡེ་ཤེས་མངོན་དུ་གྱུར	kadak dömé yeshe ngön du gyur
ཀ་དག་གནས་ལུགས་ཀྱི་ལྟ་བ་རྟོགས་པར་བྱིན་གྱིས་བརླབ་ཏུ་གསོལ	kadak neluk kyi tawa tokpar jingyi lab tu sol
ཀ་དག་གནས་ལུགས་རྟོགས་པར་བྱིན་གྱིས་རློབས	kadak neluk tokpar jingyi lob
ཀ་དག་གཞི་ཡི་ལྟ་བ་མངོན་དུ་གྱུར	kadak zhi yi tawa ngön du gyur
ཀ་དག་གཞོན་ནུ་བུམ་སྐུར་བྱང་ཆུབ་ཤོག༔	kadak zhönnu bumkur changchub shok
ཀ་དག་ཆེན་པོའི་ས་ཐོབ་ཤོག	kadak chenpö sa tob shok
ཀ་དག་ཆོས་སྐུ་པདྨ་ཚེ་དཔག་མེད	kadak chöku pema tsepakmé
ཀ་དག་ཆོས་སྐུའི་དགོངས་པ་མངོན་གྱུར་ནས	kadak chökü gongpa ngöngyur né
ཀ་དག་ཆོས་སྐུའི་དབྱིངས་སུ་གྲོལ་བར་ཤོག༔	kadak chökü ying su drolwar shok
ཀ་དག་ཆོས་སྐུའི་མཁའ་དབྱིངས་ཡངས་པོའི་རྫོགས	kadak chökü khaying yangpö dzok
ཀ་དག་དགོངས་པའི་རྩལ་ཆེན་རྫོགས	kadak gongpé tsal chen dzok
ཀ་དག་དགོངས་པར་བྱིན་གྱིས་རློབས	kadak gongpar jingyi lob
ཀ་དག་དབྱིངས་ལ་ཡེ་ཤེས་དཀྱིལ་འཁོར་རྒྱས	kadak ying la yeshe kyilkhor gyé
ཀ་དག་ཕྱོགས་ཡན་ཆེན་པོའི་དགོངས་པ་ལ༔	kadak chokyen chenpö gongpa la
ཀ་དག་བླ་མ་གཤེགས་སུ་གསོལ	kadak lama shek su sol
ཀ་དག་བློ་འདས་ངང་དུ་བཞག	kadak lodé ngang du zhak
ཀ་དག་མངོན་སུམ་རྟོགས་པར་བྱིན་གྱིས་རློབས	kadak ngönsum tokpar jingyi lob
ཀ་དག་ཟང་ཐལ་སྤྲོས་དང་བྲལ༔	kadak zangtal trö dangdral
ཀ་དག་འོད་གསལ་དབྱིངས་ཀྱི་གནས་ལུགས་རྟོགས	kadak ösal ying kyi neluk tok
ཀ་དག་འོད་གསལ་སྙིང་པོའི་ཀློང་ཆེན་པོར	kadak ösal nyingpö longchen por
ཀ་དག་ཡེ་ཤེས་ཀྱི་མར་མེ་སྦར	kadak yeshe kyi marmé bar
ཀ་དག་རང་སྣང་རིས་མེད་མངོན་དུ་གྱུར	kadak rangnang rimé ngön du gyur
ཀ་དག་རིག་པ་ཆོས་སྐུའི་རང་ཞལ་མཐོང	kadak rigpa chökü rang zhal tong
ཀ་དག་རིག་པ་དབྱིངས་ཀྱི་ལྷུམས་སུ་ཞུགས	kadak rigpa ying kyi lhum su zhuk
ཀ་དག་རིག་པའི་ངོ་བོ་མཐོང་ནས་ཀྱང་༔	kadak rigpé ngowo tong né kyang
ཀ་དག་རྫོགས་པ་ཆེན་པོའི་སྣོད་དུ་གྱུར	kadak dzogpa chenpö nö du gyur
ཀ་དག་རྫོགས་པ་ཆེན་པོའི་སྣོད་དུ་གྱུར	kadak dzogpachenpö nö du gyur
ཀ་དག་ལྟ་བ་རྩལ་རྫོགས་བྱིན་གྱིས་རློབས	kadak tawa tsal dzok jingyi lob
ཀ་དག་ལྷུན་གྲུབ་དབྱེར་མེད་དངོས་གྲུབ་སྩོལ	kadak lhündrub yermé ngödrub tsol
ཀ་དག་ལྷུན་གྲུབ་དབྱེར་མེད་རྟོགས་པ་རྒྱས	kadak lhündrub yermé tokpa gyé
ཀ་དག་ལྷུན་གྲུབ་ཟབ་མོའི་གནས་ལུགས་མཆོག	kadak lhündrub zabmö neluk chok
ཀ་དག་ལྷུན་གྲུབ་རྡོ་རྗེའི་གསེང་ལམ་ནས	kadak lhündrub dorjé seng lam né
ཀ་དག་སྐྱེ་མེད་རྡོ་རྗེའི་ཕོ་བྲང་ནས	kadak kyemé dorjé podrang né
ཀ་དག་སྟོང་ཆེན་ཆོས་སྐུའི་ཀློང་ཆེན་པོར	kadak tongchen chökü longchen por
ཀ་དག་སྤྲོས་བྲལ་ཆོས་སྐུའི་ཀློང་ཡངས་ལས	kadak trödral chökü long yang lé
ཀ་ན་ཀ་ཤྲཱི་སུ་མ་ཏི་ཀཱི་རྟི	ka na ka shri su ma ti ki ti
ཀ་པ་ལ	kapala
ཀ་བ	kaba
ཀ་བ	kaː˥˥
ཀ་བ་དཔལ་བརྩེགས་ལྕོག་རོ་ཀླུའི་རྒྱལ་མཚན	kawa pal tsek chok ro lü gyaltsen
ཀ་འཁོར་བ	ka˥˥kʰoːɹ˥˥wa˥˥
ཀ་འཁོར་བ	kaᵑkʰorba
ཀ་ཡ་བྷི་ཤ་དྷ་ན་ཡེ་ཧཱུཾ	kaya bhisha dhanayé hung
ཀ་ཡིག་ཡེ་ཤེས་བདུད་འདུལ་ཁྲོ་མོའི་སྐུ	ka yik yeshe düdul tromö ku
ཀ་ར	kara
ཀ་ར	ka˥˥ʐa˥˥
ཀ་རུ	karu
ཀ་ལ་པིང་ཀའི་རྒྱུད་མངས་ལ་བསྙེན་པ	kalapingké gyümang la nyenpa
ཀ་ལག	kalak
ཀ་ལྷུན་གོམས་པས་ཉམས་མྱོང་མཐར་སོན་པའི	ka lhün gompé nyamnyong tarsönpé
ཀ་ཤི་མིར	kaɕimir
ཀ་ཤི་མིར	ka˥˥ɕiˑmiːɹˑ
ཀ་ཤིའི་ཤམ་ཐབས་སྟ་ཟུར་གཡོན་དུ་དཀྲིས	kashi shamtab ta zur yön du tri
ཀངྐ་འདབ་ཆགས་སྐར་ལྟར་འཁྲུག༔	kangka dab chak kar tar truk
ཀན་མ	kanma
ཀར་འབྲུག་འབྲི་སྟག་ཡབ་སྲས་གཙོར་གྱུར་པའི	kar druk dri tak yapsé tsor gyurpé
ཀར་འབྲུག་ཡབ་སྲས་སྔ་འགྱུར་བསྟན་འཛིན་མཆོག	kar druk yapsé ngagyur tendzin chok
ཀར་ཤམ་མདོག་ཅན་དཔལ་ལྡན་ཀུ་ཀུ་རི	kar sham dokchen palden kukuri
ཀརྨ་གུ་རུ་ལ་ཕྱག་འཚལ	karma guru la chaktsal
ཀརྨ་ཆགས་མེད་ཞབས་ལ་གསོལ་བ་འདེབས	karma chakmé zhab la solwa deb
ཀརྨ་དཔལ་ལྡན་མཁྱེན་བརྩེའི་འོད་ཟེར་ལ	karma palden khyentsé özer la
ཀརྨ་པ་ཡི་ཐུགས་ཀྱི་སྲས་སུ་གྱུར	karma pa yi tuk kyi sé su gyur
ཀརྨ་པ་ཡི་བསྟན་འཛིན་ཁྱུ་མཆོག་ཆེ	karma pa yi tendzin khyuchok ché
ཀརྨ་པཀྴིའི་ཞབས་ལ་གསོལ་བ་འདེབས	karma pakshi zhab la solwa deb
ཀརྨ་ཕྲིན་ལས་ཀུན་ཁྱབ་ཞབས་བརྟན་གསོལ	karma trinlé künkhyab zhabten sol
ཀརྨ་བཀའ་བརྒྱུད་བསྟན་པའི་སྣང་བྱེད་མཆོག	karma kagyü tenpé nangjé chok
ཀརྨ་བཀའ་བརྒྱུད་བསྟན་འཛིན་བྱེ་བའི་ཕུལ	karma kagyü tendzin jewé pul
ཀརྨ་རིགས་ཀྱི་ལྷ་ཚོགས་ལ་གསོལ་བ་འདེབས༔	karma rik kyi lhatsok la solwa deb
ཀརྨ་སྙན་བརྒྱུད་བསྟན་པའི་སྲོག་འཛིན་པ	karma nyengyü tenpé sokdzin pa
ཀཱ་ན་ཀ་ཤྲཱི་སུ་མ་ཏི་ཀིརྟི	kanakashri sumatikirti
ཀཱ་ཡ་ཝ་ཀི་ཙི་པྲི་ཏ་སྟམྦྷ་ན་བི་ཛ་ཡཱ་དྷཱ་ར་ཎི	kaya waki tsitrita stambhana bidzaya dharani
ཀཱ་ཡ་ཝཀྐ་ཙིཏྟ་སརྦ་སིདྡྷི་ཕ་ལ་ཧཱུྃ་ཨཱཿ	kaya waka tsitta sarwa siddhi pala hung ah
ཀཱ་ཡ་ཝཀྐ་ཙིཏྟ་སརྦ་སིདྡྷི་ཕ་ལ་ཧཱུྃ་ཨཱཿ	kaya waka tsitta sarva siddhi pala hung ah
ཀཱ་ཡ་ཝཱ་ཀ་ཙིཏྟ་སརྦ་སིདྡྷི་ཕ་ལ་ཧོཿ	kaya waka tsitta sarva siddhi pala ho
ཀཱ་ཡ་ཝཱ་ཀ་ཙིཏྟ་སིདྡྷི་ཕ་ལ་ཧོ༔	kaya waka tsitta siddhi pala ho
ཀཱ་ཡ་ཝཱཀ་ཙིཏྟ་ཏིཥྛ་བཛྲ	kaya waka tsitta tishta benza
ཀཱ་ཡ་སིདྡྷི་ཨཱོྃ༔	kaya siddhi om
ཀཱ་ཡ་ཨ་བྷི་ཥིཉྩ་ཨོཾ༔	kaya abhikintsa om
ཀཱ་ཡ་ཨ་བྷི་ཥིཉྩ་ཨོཾཿ	kaya abhikintsa om
ཀཱི་ནི་ཐབས་ཀྱི་མཆེ་བ་ཅན༔	ki ni tab kyi chewachen
ཀཱི་ནི་ཡེ་ཤེས་ཁྲོ་བོ་ལ༔	ki ni yeshe trowo la
ཀཱི་ལ་ཡ་ཡི་དངོས་གྲུབ་སྩོལ༔	kilaya yi ngödrub tsol
ཀཱི་ལ་ཡ་ཡི་བྱིན་ཕོབ་ཅིག	kilaya yi jin pob chik
ཀཱི་ལ་སྒྲོགས་སོགས་ཡུལ་ཆུང་བརྒྱད་རྣམས་སུ༔	ki la drok sok yul chung gyé nam su
ཀཱི་ལི་ཀཱི་ལ་ཡ་ཕཊ་སརྦ་པཱ་པཾཧཱུཾ་ཧཱུཾ་ཧཱུཾ	kili kilaya pé sarva papam hung hung hung
ཀཱི་ལི་ཀཱི་ལ་ཡ་སརྦ་པཱ་པཾ་ཧཱུྃ་ཧཱུྃ་ཧཱུྃ	kili kilaya pé sarva papam hung hung hung
ཀཱི་ལི་ཀཱི་ལ་ཡ་སརྦ་པཱ་པཾ་ཧཱུཾ་ཧཱུཾ་ཧཱུཾ	kili kilaya sarva papam hung hung hung
ཀི་ཀིབསྭོ་བསྭོ	ki ki so so
ཀི་བསོ་ཆའོ་དགྲ་བླའི་དམག	ki so cha o dralé mak
ཀི་བསྭོ་ཆའོ་ལྷ་རྒྱལ་ལོ	ki so cha o lha gyal lo
ཀི་ལ་འདུ་ཞིང་བསྭོ་ལ་དགྱེས་པ	ki la du zhing so la gyépa
ཀིའུ	kiu˥˥
ཀུ་ཏཱ་ལི་མ་སུ་མ་སུ	kutali masu masu
ཀུ་མ་རཱ་ཛ་ལ་གསོལ་བ་འདེབས	ku ma radza la solwa deb
ཀུ་མ་རཱ་ཛ་ལ་ཕྱག་འཚལ	ku ma radza la chaktsal
ཀུ་མ་རཱ་ཛར་གསོལ་བ་འདེབས	ku ma radzar solwa deb
ཀུ་མཱ་རཱ་ཛའི་ཞབས་ལ་གསོལ་བ་འདེབས	kuma radzé zhab la solwa deb
ཀུ་མུད	kumut
ཀུ་མུད	ku˥˥myː˥˨
ཀུ་མུད་བཞད་པའི་གཉེན་གཅིག་ཆོས༵་ཀྱི༵་རྒྱལ	kumü zhepé nyen chik chö kyi gyal
ཀུ་རུ་ཀུ་ལླེ་དང་འོད་ཟེར་ཅན	kurukullé dang özer chen
ཀུ་རུ་ཀུལླེ་འཇིགས་བྱེད་ཆེན་མོ་དང	kurukullé jikjé chenmo dang
ཀུ་ལིག	kulik
ཀུན	kun
ཀུན	kỹ˥˥
ཀུན་ཀྱང་ཀུན་ནས་བཟང་པོར་རེག་གྱུར་ཅིག	kün kyang künné zangpor rek gyur chik
ཀུན་ཀྱང་གདུལ་བྱའི་བུང་བ་སོ་སོ་ཡི	kün kyang duljé bungwa soso yi
ཀུན་ཀྱང་ཆོས་ཀྱི་སྒྲ་སྒྲོག་ཅིང་༔	kün kyang chö kyi dra drok ching
ཀུན་ཀྱང་ཆོས་བརྒྱད་ཟོལ་དང་མ་འདྲེས་པར	kün kyang chö gyé zol dang madrepar
ཀུན་ཀྱང་ཐར་པའི་ས་བོན་ཐེབས་གྱུར་ཅིག	kün kyang tarpé sabön teb gyur chik
ཀུན་ཀྱང་ཐུགས་ཀའི་ཧཱུྃ་ལ་བལྟ༔	kün kyang tukké hung la ta
ཀུན་ཀྱང་ཐེག་གསུམ་ལམ་གྱི་ངེས་འབྱུང་ལ	kün kyang tek sum lam gyi ngejung la
ཀུན་ཀྱང་དག་མཉམ་ཆེན་པོ་ཡི	kün kyang dak nyam chenpo yi
ཀུན་ཀྱང་དཔལ་ཆེན་གོ་འཕང་ཐོབ་པར་ཤོག༔	kün kyang palchen gopang tobpar shok
ཀུན་ཀྱང་དབང་རྣོན་བཟོད་པ་ཐོབ་པ་སྟེ	kün kyang wangnön zöpa tobpa té
ཀུན་ཀྱང་ནང་གསལ་ཁྱད་ཆོས་དྲུག་དང་ལྡན	kün kyang nangsal khyechö druk dangden
ཀུན་ཀྱང་ཕྱེད་དཀྱིལ་རོལ་པར་བཞུགས	kün kyang ché kyil rolpar zhuk
ཀུན་ཀྱང་བདེ་དགའི་གར་གྱིས་བྲེལ་གྱུར་ཅིག	kün kyang dé gé gar gyi drel gyur chik
ཀུན་ཀྱང་བདེ་དགའི་དཔལ་ལ་སྤྱོད་པ་དང	kün kyang dé gé pal la chöpa dang
ཀུན་ཀྱང་བདེ་བའི་ངོ་བོར་ཞུ༔	kün kyang dewé ngowor zhu
ཀུན་ཀྱང་བསྟན་པ་རྒྱས་པའི་རྒྱུ་རུ་བསྔོ	kün kyang tenpa gyepé gyu ru ngo
ཀུན་ཀྱང་བསྟན་འགྲོའི་དོན་དུ་བསྔོ་བས་བཟང	kün kyang ten drö döndu ngowé zang
ཀུན་ཀྱང་བསྟན་ལ་འདུན་དང་དགེ་བཅུར་སྤྱོད	kün kyang ten la dün dang gé chur chö
ཀུན་ཀྱང་བུང་བ་ཚང་ཞིག་ལྟར༔	kün kyang bungwa tsang zhik tar
ཀུན་ཀྱང་བྱང་ཆུབ་སྤྱོད་མཆོག་གིས	kün kyang changchub chö chok gi
ཀུན་ཀྱང་ཞལ་མཐུན་ཀུན་གྱི་གསང་བའི་གནད	kün kyang zhal tün kün gyi sangwé né
ཀུན་ཀྱང་འོད་ཟེར་ཚུལ་ལ་བསྡུས༔	kün kyang özer tsul la dü
ཀུན་ཀྱང་རང་རང	kün kyang rang rang…
ཀུན་ཀྱང་རིགས་ཀྱི་གཙོ་དང་དབྱེར་མེད་པར	kün kyang rik kyi tso dang yermé par
ཀུན་ཀྱང་རིགས་བཞིའི་འཁོར་དང་བཅས༔	kün kyang rik zhi khor dangché
ཀུན་ཀྱང་རྡོ་རྗེ་ཁྲོས་མའི་དཀྱིལ་འཁོར་དུ	kün kyang dorjé trömé kyilkhor du
ཀུན་ཀྱང་རྡོ་རྗེ་འཛིན་པའི་ས་ཐོབ་ཤོག	kün kyang dorjé dzinpé sa tob shok
ཀུན་ཀྱང་རྡོ་རྗེ་སེམས་དཔའ་ཡི	kün kyang dorjé sempa yi
ཀུན་ཀྱང་རྡོ་རྗེའི་གཤོག་པ་གདེངས༔	kün kyang dorjé shokpa deng
ཀུན་ཀྱང་རྣམ་ཀུན་མཆོག་ལྡན་ཐོབ་པར་ཤོག	kün kyang namkün chokden tobpar shok
ཀུན་ཀྱང་ལྟོ་སྟོང་རུས་པའི་འཁོར་ལོ་སོགས	kün kyang to tong rüpé khorlo sok
ཀུན་ཀྱང་སངས་རྒྱས་ཐོབ་པར་ཤོག	kün kyang sangye tobpar shok
ཀུན་ཀྱང་སྐུ་གསུམ་འབྲས་བུ་ཐོབ་པར་ཤོག	kun kyang ku sum drebu tobpar shok
ཀུན་ཁྱབ་གཞི་རྫོགས་ལྟ་བ་ཉིད	künkhyab zhi dzok tawa nyi
ཀུན་ཁྱབ་ཐུགས་རྗེའི་འོད་ཟེར་མཐའ་ཡས་འབར	künkhyab tukjé özer tayé bar
